"OID","Country or Area","Year","Description","Magnitude","Value"
"11064..XZF...","ADVANCED ECONOMIES","2009","CPI % CHANGE","PERCENT PER ANNU","-0.0980473"
"11064...ZF...","ADVANCED ECONOMIES","2009","CPI","INDEX NUMBER","108.057"
"11064..XZF...","ADVANCED ECONOMIES","2008","CPI % CHANGE","PERCENT PER ANNU","3.35078"
"11064...ZF...","ADVANCED ECONOMIES","2008","CPI","INDEX NUMBER","108.163"
"11064..XZF...","ADVANCED ECONOMIES","2007","CPI % CHANGE","PERCENT PER ANNU","2.26432"
"11064...ZF...","ADVANCED ECONOMIES","2007","CPI","INDEX NUMBER","104.657"
"11064..XZF...","ADVANCED ECONOMIES","2006","CPI % CHANGE","PERCENT PER ANNU","2.33922"
"11064...ZF...","ADVANCED ECONOMIES","2006","CPI","INDEX NUMBER","102.339"
"11064..XZF...","ADVANCED ECONOMIES","2005","CPI % CHANGE","PERCENT PER ANNU","2.33411"
"11064...ZF...","ADVANCED ECONOMIES","2005","CPI","INDEX NUMBER","100"
"11064..XZF...","ADVANCED ECONOMIES","2004","CPI % CHANGE","PERCENT PER ANNU","2.08375"
"11064...ZF...","ADVANCED ECONOMIES","2004","CPI","INDEX NUMBER","97.7191"
"11064..XZF...","ADVANCED ECONOMIES","2003","CPI % CHANGE","PERCENT PER ANNU","1.89501"
"11064...ZF...","ADVANCED ECONOMIES","2003","CPI","INDEX NUMBER","95.7245"
"11064..XZF...","ADVANCED ECONOMIES","2002","CPI % CHANGE","PERCENT PER ANNU","1.50448"
"11064...ZF...","ADVANCED ECONOMIES","2002","CPI","INDEX NUMBER","93.9442"
"11064..XZF...","ADVANCED ECONOMIES","2001","CPI % CHANGE","PERCENT PER ANNU","2.19917"
"11064...ZF...","ADVANCED ECONOMIES","2001","CPI","INDEX NUMBER","92.5518"
"11064..XZF...","ADVANCED ECONOMIES","2000","CPI % CHANGE","PERCENT PER ANNU","2.35247"
"11064...ZF...","ADVANCED ECONOMIES","2000","CPI","INDEX NUMBER","90.5602"
"11064..XZF...","ADVANCED ECONOMIES","1999","CPI % CHANGE","PERCENT PER ANNU","1.40456"
"11064...ZF...","ADVANCED ECONOMIES","1999","CPI","INDEX NUMBER","88.4788"
"11064..XZF...","ADVANCED ECONOMIES","1998","CPI % CHANGE","PERCENT PER ANNU","1.62562"
"11064...ZF...","ADVANCED ECONOMIES","1998","CPI","INDEX NUMBER","87.2533"
"11064..XZF...","ADVANCED ECONOMIES","1997","CPI % CHANGE","PERCENT PER ANNU","2.16434"
"11064...ZF...","ADVANCED ECONOMIES","1997","CPI","INDEX NUMBER","85.8575"
"11064..XZF...","ADVANCED ECONOMIES","1996","CPI % CHANGE","PERCENT PER ANNU","2.41044"
"11064...ZF...","ADVANCED ECONOMIES","1996","CPI","INDEX NUMBER","84.0387"
"11064..XZF...","ADVANCED ECONOMIES","1995","CPI % CHANGE","PERCENT PER ANNU","2.63387"
"11064...ZF...","ADVANCED ECONOMIES","1995","CPI","INDEX NUMBER","82.0606"
"11064..XZF...","ADVANCED ECONOMIES","1994","CPI % CHANGE","PERCENT PER ANNU","2.63728"
"11064...ZF...","ADVANCED ECONOMIES","1994","CPI","INDEX NUMBER","79.9547"
"11064..XZF...","ADVANCED ECONOMIES","1993","CPI % CHANGE","PERCENT PER ANNU","2.85124"
"11064...ZF...","ADVANCED ECONOMIES","1993","CPI","INDEX NUMBER","77.9003"
"11064..XZF...","ADVANCED ECONOMIES","1992","CPI % CHANGE","PERCENT PER ANNU","3.27373"
"11064...ZF...","ADVANCED ECONOMIES","1992","CPI","INDEX NUMBER","75.7407"
"11064..XZF...","ADVANCED ECONOMIES","1991","CPI % CHANGE","PERCENT PER ANNU","4.72294"
"11064...ZF...","ADVANCED ECONOMIES","1991","CPI","INDEX NUMBER","73.3398"
"11064..XZF...","ADVANCED ECONOMIES","1990","CPI % CHANGE","PERCENT PER ANNU","5.50658"
"11064...ZF...","ADVANCED ECONOMIES","1990","CPI","INDEX NUMBER","70.0322"
"11064..XZF...","ADVANCED ECONOMIES","1989","CPI % CHANGE","PERCENT PER ANNU","4.87101"
"11064...ZF...","ADVANCED ECONOMIES","1989","CPI","INDEX NUMBER","66.3771"
"11064..XZF...","ADVANCED ECONOMIES","1988","CPI % CHANGE","PERCENT PER ANNU","3.77733"
"11064...ZF...","ADVANCED ECONOMIES","1988","CPI","INDEX NUMBER","63.294"
"11064..XZF...","ADVANCED ECONOMIES","1987","CPI % CHANGE","PERCENT PER ANNU","3.49147"
"11064...ZF...","ADVANCED ECONOMIES","1987","CPI","INDEX NUMBER","60.9902"
"11064..XZF...","ADVANCED ECONOMIES","1986","CPI % CHANGE","PERCENT PER ANNU","3.09338"
"11064...ZF...","ADVANCED ECONOMIES","1986","CPI","INDEX NUMBER","58.9326"
"11064..XZF...","ADVANCED ECONOMIES","1985","CPI % CHANGE","PERCENT PER ANNU","5.18244"
"11064...ZF...","ADVANCED ECONOMIES","1985","CPI","INDEX NUMBER","57.1643"
"11064..XZF...","ADVANCED ECONOMIES","1984","CPI % CHANGE","PERCENT PER ANNU","5.85366"
"11064...ZF...","ADVANCED ECONOMIES","1984","CPI","INDEX NUMBER","54.3478"
"11064..XZF...","ADVANCED ECONOMIES","1983","CPI % CHANGE","PERCENT PER ANNU","5.85948"
"11064...ZF...","ADVANCED ECONOMIES","1983","CPI","INDEX NUMBER","51.3424"
"11064..XZF...","ADVANCED ECONOMIES","1982","CPI % CHANGE","PERCENT PER ANNU","8.30522"
"11064...ZF...","ADVANCED ECONOMIES","1982","CPI","INDEX NUMBER","48.5005"
"11064..XZF...","ADVANCED ECONOMIES","1981","CPI % CHANGE","PERCENT PER ANNU","11.3344"
"11064...ZF...","ADVANCED ECONOMIES","1981","CPI","INDEX NUMBER","44.7813"
"11064..XZF...","ADVANCED ECONOMIES","1980","CPI % CHANGE","PERCENT PER ANNU","13.5931"
"11064...ZF...","ADVANCED ECONOMIES","1980","CPI","INDEX NUMBER","40.2224"
"11064..XZF...","ADVANCED ECONOMIES","1979","CPI % CHANGE","PERCENT PER ANNU","10.3935"
"11064...ZF...","ADVANCED ECONOMIES","1979","CPI","INDEX NUMBER","35.4091"
"11064..XZF...","ADVANCED ECONOMIES","1978","CPI % CHANGE","PERCENT PER ANNU","8.25708"
"11064...ZF...","ADVANCED ECONOMIES","1978","CPI","INDEX NUMBER","32.0754"
"11064..XZF...","ADVANCED ECONOMIES","1977","CPI % CHANGE","PERCENT PER ANNU","9.63992"
"11064...ZF...","ADVANCED ECONOMIES","1977","CPI","INDEX NUMBER","29.6289"
"11064..XZF...","ADVANCED ECONOMIES","1976","CPI % CHANGE","PERCENT PER ANNU","9.26954"
"11064...ZF...","ADVANCED ECONOMIES","1976","CPI","INDEX NUMBER","27.0238"
"11064..XZF...","ADVANCED ECONOMIES","1975","CPI % CHANGE","PERCENT PER ANNU","12.2351"
"11064...ZF...","ADVANCED ECONOMIES","1975","CPI","INDEX NUMBER","24.7314"
"11064..XZF...","ADVANCED ECONOMIES","1974","CPI % CHANGE","PERCENT PER ANNU","14.6978"
"11064...ZF...","ADVANCED ECONOMIES","1974","CPI","INDEX NUMBER","22.0353"
"11064..XZF...","ADVANCED ECONOMIES","1973","CPI % CHANGE","PERCENT PER ANNU","8.10168"
"11064...ZF...","ADVANCED ECONOMIES","1973","CPI","INDEX NUMBER","19.2116"
"11064..XZF...","ADVANCED ECONOMIES","1972","CPI % CHANGE","PERCENT PER ANNU","4.91083"
"11064...ZF...","ADVANCED ECONOMIES","1972","CPI","INDEX NUMBER","17.7718"
"11064..XZF...","ADVANCED ECONOMIES","1971","CPI % CHANGE","PERCENT PER ANNU","5.46721"
"11064...ZF...","ADVANCED ECONOMIES","1971","CPI","INDEX NUMBER","16.9399"
"11064..XZF...","ADVANCED ECONOMIES","1970","CPI % CHANGE","PERCENT PER ANNU","5.79679"
"11064...ZF...","ADVANCED ECONOMIES","1970","CPI","INDEX NUMBER","16.0618"
"11064..XZF...","ADVANCED ECONOMIES","1969","CPI % CHANGE","PERCENT PER ANNU","4.95727"
"11064...ZF...","ADVANCED ECONOMIES","1969","CPI","INDEX NUMBER","15.1817"
"11064...ZF...","ADVANCED ECONOMIES","1968","CPI","INDEX NUMBER","14.4647"
"51264...ZF...","AFGHANISTAN, I.R. OF","2009","CONSUMER PRICES","","128.914"
"51264...ZF...","AFGHANISTAN, I.R. OF","2008","CONSUMER PRICES","","148.562"
"51264...ZF...","AFGHANISTAN, I.R. OF","2007","CONSUMER PRICES","","121.086"
"51264...ZF...","AFGHANISTAN, I.R. OF","2006","CONSUMER PRICES","","103.514"
"51264...ZF...","AFGHANISTAN, I.R. OF","2005","CONSUMER PRICES","","100"
"51264...ZF...","AFGHANISTAN, I.R. OF","2004","CONSUMER PRICES","","89.2173"
"60564..XZF...","AFRICA","2009","CPI % CHANGE","PERCENT PER ANNU","8.6022"
"60564...ZF...","AFRICA","2009","CPI","INDEX NUMBER","138.875"
"60564..XZF...","AFRICA","2008","CPI % CHANGE","PERCENT PER ANNU","12.548"
"60564...ZF...","AFRICA","2008","CPI","INDEX NUMBER","127.875"
"60564..XZF...","AFRICA","2007","CPI % CHANGE","PERCENT PER ANNU","6.64823"
"60564...ZF...","AFRICA","2007","CPI","INDEX NUMBER","113.618"
"60564..XZF...","AFRICA","2006","CPI % CHANGE","PERCENT PER ANNU","6.53507"
"60564...ZF...","AFRICA","2006","CPI","INDEX NUMBER","106.535"
"60564..XZF...","AFRICA","2005","CPI % CHANGE","PERCENT PER ANNU","7.49638"
"60564...ZF...","AFRICA","2005","CPI","INDEX NUMBER","100"
"60564..XZF...","AFRICA","2004","CPI % CHANGE","PERCENT PER ANNU","6.6404"
"60564...ZF...","AFRICA","2004","CPI","INDEX NUMBER","93.0264"
"60564..XZF...","AFRICA","2003","CPI % CHANGE","PERCENT PER ANNU","8.96955"
"60564...ZF...","AFRICA","2003","CPI","INDEX NUMBER","87.2337"
"60564..XZF...","AFRICA","2002","CPI % CHANGE","PERCENT PER ANNU","9.36107"
"60564...ZF...","AFRICA","2002","CPI","INDEX NUMBER","80.0533"
"60564..XZF...","AFRICA","2001","CPI % CHANGE","PERCENT PER ANNU","11.4338"
"60564...ZF...","AFRICA","2001","CPI","INDEX NUMBER","73.2009"
"60564..XZF...","AFRICA","2000","CPI % CHANGE","PERCENT PER ANNU","11.8855"
"60564...ZF...","AFRICA","2000","CPI","INDEX NUMBER","65.6901"
"60564..XZF...","AFRICA","1999","CPI % CHANGE","PERCENT PER ANNU","10.2947"
"60564...ZF...","AFRICA","1999","CPI","INDEX NUMBER","58.7119"
"60564..XZF...","AFRICA","1998","CPI % CHANGE","PERCENT PER ANNU","9.02309"
"60564...ZF...","AFRICA","1998","CPI","INDEX NUMBER","53.2318"
"60564..XZF...","AFRICA","1997","CPI % CHANGE","PERCENT PER ANNU","14.2977"
"60564...ZF...","AFRICA","1997","CPI","INDEX NUMBER","48.8261"
"60564..XZF...","AFRICA","1996","CPI % CHANGE","PERCENT PER ANNU","31.3666"
"60564...ZF...","AFRICA","1996","CPI","INDEX NUMBER","42.7184"
"60564..XZF...","AFRICA","1995","CPI % CHANGE","PERCENT PER ANNU","36.7252"
"60564...ZF...","AFRICA","1995","CPI","INDEX NUMBER","32.5185"
"60564..XZF...","AFRICA","1994","CPI % CHANGE","PERCENT PER ANNU","31.4556"
"60564...ZF...","AFRICA","1994","CPI","INDEX NUMBER","23.7838"
"60564..XZF...","AFRICA","1993","CPI % CHANGE","PERCENT PER ANNU","32.7395"
"60564...ZF...","AFRICA","1993","CPI","INDEX NUMBER","18.0927"
"60564..XZF...","AFRICA","1992","CPI % CHANGE","PERCENT PER ANNU","37.308"
"60564...ZF...","AFRICA","1992","CPI","INDEX NUMBER","13.6302"
"60564..XZF...","AFRICA","1991","CPI % CHANGE","PERCENT PER ANNU","26.3341"
"60564...ZF...","AFRICA","1991","CPI","INDEX NUMBER","9.92674"
"60564..XZF...","AFRICA","1990","CPI % CHANGE","PERCENT PER ANNU","16.0173"
"60564...ZF...","AFRICA","1990","CPI","INDEX NUMBER","7.85753"
"60564..XZF...","AFRICA","1989","CPI % CHANGE","PERCENT PER ANNU","19.498"
"60564...ZF...","AFRICA","1989","CPI","INDEX NUMBER","6.77272"
"60564..XZF...","AFRICA","1988","CPI % CHANGE","PERCENT PER ANNU","15.5494"
"60564...ZF...","AFRICA","1988","CPI","INDEX NUMBER","5.66764"
"60564..XZF...","AFRICA","1987","CPI % CHANGE","PERCENT PER ANNU","13.98"
"60564...ZF...","AFRICA","1987","CPI","INDEX NUMBER","4.90495"
"60564..XZF...","AFRICA","1986","CPI % CHANGE","PERCENT PER ANNU","14.0103"
"60564...ZF...","AFRICA","1986","CPI","INDEX NUMBER","4.30334"
"60564..XZF...","AFRICA","1985","CPI % CHANGE","PERCENT PER ANNU","15.0469"
"60564...ZF...","AFRICA","1985","CPI","INDEX NUMBER","3.77452"
"60564..XZF...","AFRICA","1984","CPI % CHANGE","PERCENT PER ANNU","14.8978"
"60564...ZF...","AFRICA","1984","CPI","INDEX NUMBER","3.28085"
"60564..XZF...","AFRICA","1983","CPI % CHANGE","PERCENT PER ANNU","15.1751"
"60564...ZF...","AFRICA","1983","CPI","INDEX NUMBER","2.85545"
"60564..XZF...","AFRICA","1982","CPI % CHANGE","PERCENT PER ANNU","13.6455"
"60564...ZF...","AFRICA","1982","CPI","INDEX NUMBER","2.47923"
"60564..XZF...","AFRICA","1981","CPI % CHANGE","PERCENT PER ANNU","17.6378"
"60564...ZF...","AFRICA","1981","CPI","INDEX NUMBER","2.18155"
"60564..XZF...","AFRICA","1980","CPI % CHANGE","PERCENT PER ANNU","14.5246"
"60564...ZF...","AFRICA","1980","CPI","INDEX NUMBER","1.85446"
"60564..XZF...","AFRICA","1979","CPI % CHANGE","PERCENT PER ANNU","15.4098"
"60564...ZF...","AFRICA","1979","CPI","INDEX NUMBER","1.61927"
"60564..XZF...","AFRICA","1978","CPI % CHANGE","PERCENT PER ANNU","16.052"
"60564...ZF...","AFRICA","1978","CPI","INDEX NUMBER","1.40306"
"60564..XZF...","AFRICA","1977","CPI % CHANGE","PERCENT PER ANNU","19.0029"
"60564...ZF...","AFRICA","1977","CPI","INDEX NUMBER","1.20899"
"60564..XZF...","AFRICA","1976","CPI % CHANGE","PERCENT PER ANNU","15.3124"
"60564...ZF...","AFRICA","1976","CPI","INDEX NUMBER","1.01594"
"60564..XZF...","AFRICA","1975","CPI % CHANGE","PERCENT PER ANNU","17.8296"
"60564...ZF...","AFRICA","1975","CPI","INDEX NUMBER","0.881028"
"60564..XZF...","AFRICA","1974","CPI % CHANGE","PERCENT PER ANNU","13.8006"
"60564...ZF...","AFRICA","1974","CPI","INDEX NUMBER","0.747714"
"60564..XZF...","AFRICA","1973","CPI % CHANGE","PERCENT PER ANNU","9.02663"
"60564...ZF...","AFRICA","1973","CPI","INDEX NUMBER","0.657039"
"60564..XZF...","AFRICA","1972","CPI % CHANGE","PERCENT PER ANNU","5.70841"
"60564...ZF...","AFRICA","1972","CPI","INDEX NUMBER","0.60264"
"60564..XZF...","AFRICA","1971","CPI % CHANGE","PERCENT PER ANNU","5.9449"
"60564...ZF...","AFRICA","1971","CPI","INDEX NUMBER","0.570097"
"60564..XZF...","AFRICA","1970","CPI % CHANGE","PERCENT PER ANNU","5.80512"
"60564...ZF...","AFRICA","1970","CPI","INDEX NUMBER","0.538107"
"60564..XZF...","AFRICA","1969","CPI % CHANGE","PERCENT PER ANNU","5.23363"
"60564...ZF...","AFRICA","1969","CPI","INDEX NUMBER","0.508583"
"60564...ZF...","AFRICA","1968","CPI","INDEX NUMBER","0.48329"
"91464..XZF...","ALBANIA","2009","CPI % CHANGE","PERCENT PER ANNU","2.22962"
"91464...ZF...","ALBANIA","2009","CONSUMER PRICES","INDEX NUMBER","111.341"
"91464..XZF...","ALBANIA","2008","CPI % CHANGE","PERCENT PER ANNU","3.35924"
"91464...ZF...","ALBANIA","2008","CONSUMER PRICES","INDEX NUMBER","108.913"
"91464..XZF...","ALBANIA","2007","CPI % CHANGE","PERCENT PER ANNU","2.93268"
"91464...ZF...","ALBANIA","2007","CONSUMER PRICES","INDEX NUMBER","105.373"
"91464..XZF...","ALBANIA","2006","CPI % CHANGE","PERCENT PER ANNU","2.37073"
"91464...ZF...","ALBANIA","2006","CONSUMER PRICES","INDEX NUMBER","102.371"
"91464..XZF...","ALBANIA","2005","CPI % CHANGE","PERCENT PER ANNU","2.36658"
"91464...ZF...","ALBANIA","2005","CONSUMER PRICES","INDEX NUMBER","100"
"91464..XZF...","ALBANIA","2004","CPI % CHANGE","PERCENT PER ANNU","2.28002"
"91464...ZF...","ALBANIA","2004","CONSUMER PRICES","INDEX NUMBER","97.6881"
"91464..XZF...","ALBANIA","2003","CPI % CHANGE","PERCENT PER ANNU","0.484003"
"91464...ZF...","ALBANIA","2003","CONSUMER PRICES","INDEX NUMBER","95.5105"
"91464..XZF...","ALBANIA","2002","CPI % CHANGE","PERCENT PER ANNU","7.77053"
"91464...ZF...","ALBANIA","2002","CONSUMER PRICES","INDEX NUMBER","95.0504"
"91464..XZF...","ALBANIA","2001","CPI % CHANGE","PERCENT PER ANNU","3.10759"
"91464...ZF...","ALBANIA","2001","CONSUMER PRICES","INDEX NUMBER","88.1971"
"91464..XZF...","ALBANIA","2000","CPI % CHANGE","PERCENT PER ANNU","0.0500181"
"91464...ZF...","ALBANIA","2000","CONSUMER PRICES","INDEX NUMBER","85.5389"
"91464..XZF...","ALBANIA","1999","CPI % CHANGE","PERCENT PER ANNU","0.389438"
"91464...ZF...","ALBANIA","1999","CONSUMER PRICES","INDEX NUMBER","85.4961"
"91464..XZF...","ALBANIA","1998","CPI % CHANGE","PERCENT PER ANNU","20.6429"
"91464...ZF...","ALBANIA","1998","CONSUMER PRICES","INDEX NUMBER","85.1644"
"91464..XZF...","ALBANIA","1997","CPI % CHANGE","PERCENT PER ANNU","33.1803"
"91464...ZF...","ALBANIA","1997","CONSUMER PRICES","INDEX NUMBER","70.5922"
"91464..XZF...","ALBANIA","1996","CPI % CHANGE","PERCENT PER ANNU","12.7255"
"91464...ZF...","ALBANIA","1996","CONSUMER PRICES","INDEX NUMBER","53.005"
"91464..XZF...","ALBANIA","1995","CPI % CHANGE","PERCENT PER ANNU","7.79322"
"91464...ZF...","ALBANIA","1995","CONSUMER PRICES","INDEX NUMBER","47.0213"
"91464..XZF...","ALBANIA","1994","CPI % CHANGE","PERCENT PER ANNU","22.5651"
"91464...ZF...","ALBANIA","1994","CONSUMER PRICES","INDEX NUMBER","43.6218"
"91464..XZF...","ALBANIA","1993","CPI % CHANGE","PERCENT PER ANNU","85.0048"
"91464...ZF...","ALBANIA","1993","CONSUMER PRICES","INDEX NUMBER","35.5907"
"91464..XZF...","ALBANIA","1992","CPI % CHANGE","PERCENT PER ANNU","226.005"
"91464...ZF...","ALBANIA","1992","CONSUMER PRICES","INDEX NUMBER","19.2377"
"91464...ZF...","ALBANIA","1991","CONSUMER PRICES","INDEX NUMBER","5.90104"
"61264...ZF...","ALGERIA","2008","CPI CAPITAL CITY","INDEX NUMBER","110.858"
"61264..XZF...","ALGERIA","2008","CPI % CHANGE","PERCENT PER ANNU","4.44394"
"61264...ZF...","ALGERIA","2007","CPI CAPITAL CITY","INDEX NUMBER","106.141"
"61264..XZF...","ALGERIA","2007","CPI % CHANGE","PERCENT PER ANNU","3.52123"
"61264...ZF...","ALGERIA","2006","CPI CAPITAL CITY","INDEX NUMBER","102.531"
"61264..XZF...","ALGERIA","2006","CPI % CHANGE","PERCENT PER ANNU","2.53114"
"61264...ZF...","ALGERIA","2005","CPI CAPITAL CITY","INDEX NUMBER","100"
"61264..XZF...","ALGERIA","2005","CPI % CHANGE","PERCENT PER ANNU","1.63982"
"61264...ZF...","ALGERIA","2004","CPI CAPITAL CITY","INDEX NUMBER","98.3866"
"61264..XZF...","ALGERIA","2004","CPI % CHANGE","PERCENT PER ANNU","3.56582"
"61264...ZF...","ALGERIA","2003","CPI CAPITAL CITY","INDEX NUMBER","94.9991"
"61264..XZF...","ALGERIA","2003","CPI % CHANGE","PERCENT PER ANNU","2.58031"
"61264...ZF...","ALGERIA","2002","CPI CAPITAL CITY","INDEX NUMBER","92.6095"
"61264..XZF...","ALGERIA","2002","CPI % CHANGE","PERCENT PER ANNU","1.4183"
"61264...ZF...","ALGERIA","2001","CPI CAPITAL CITY","INDEX NUMBER","91.3144"
"61264..XZF...","ALGERIA","2001","CPI % CHANGE","PERCENT PER ANNU","4.22599"
"61264...ZF...","ALGERIA","2000","CPI CAPITAL CITY","INDEX NUMBER","87.6119"
"61264..XZF...","ALGERIA","2000","CPI % CHANGE","PERCENT PER ANNU","0.339163"
"61264...ZF...","ALGERIA","1999","CPI CAPITAL CITY","INDEX NUMBER","87.3158"
"61264..XZF...","ALGERIA","1999","CPI % CHANGE","PERCENT PER ANNU","2.64551"
"61264...ZF...","ALGERIA","1998","CPI CAPITAL CITY","INDEX NUMBER","85.0654"
"61264..XZF...","ALGERIA","1998","CPI % CHANGE","PERCENT PER ANNU","4.95016"
"61264...ZF...","ALGERIA","1997","CPI CAPITAL CITY","INDEX NUMBER","81.0531"
"61264..XZF...","ALGERIA","1997","CPI % CHANGE","PERCENT PER ANNU","5.73352"
"61264...ZF...","ALGERIA","1996","CPI CAPITAL CITY","INDEX NUMBER","76.6579"
"61264..XZF...","ALGERIA","1996","CPI % CHANGE","PERCENT PER ANNU","18.6791"
"61264...ZF...","ALGERIA","1995","CPI CAPITAL CITY","INDEX NUMBER","64.5926"
"61264..XZF...","ALGERIA","1995","CPI % CHANGE","PERCENT PER ANNU","29.7796"
"61264...ZF...","ALGERIA","1994","CPI CAPITAL CITY","INDEX NUMBER","49.771"
"61264..XZF...","ALGERIA","1994","CPI % CHANGE","PERCENT PER ANNU","29.0477"
"61264...ZF...","ALGERIA","1993","CPI CAPITAL CITY","INDEX NUMBER","38.5679"
"61264..XZF...","ALGERIA","1993","CPI % CHANGE","PERCENT PER ANNU","20.5403"
"61264...ZF...","ALGERIA","1992","CPI CAPITAL CITY","INDEX NUMBER","31.9959"
"61264..XZF...","ALGERIA","1992","CPI % CHANGE","PERCENT PER ANNU","31.6697"
"61264...ZF...","ALGERIA","1991","CPI CAPITAL CITY","INDEX NUMBER","24.3001"
"61264..XZF...","ALGERIA","1991","CPI % CHANGE","PERCENT PER ANNU","25.8864"
"61264...ZF...","ALGERIA","1990","CPI CAPITAL CITY","INDEX NUMBER","19.3032"
"61264..XZF...","ALGERIA","1990","CPI % CHANGE","PERCENT PER ANNU","16.6525"
"61264...ZF...","ALGERIA","1989","CPI CAPITAL CITY","INDEX NUMBER","16.5476"
"61264..XZF...","ALGERIA","1989","CPI % CHANGE","PERCENT PER ANNU","9.30436"
"61264...ZF...","ALGERIA","1988","CPI CAPITAL CITY","INDEX NUMBER","15.139"
"61264..XZF...","ALGERIA","1988","CPI % CHANGE","PERCENT PER ANNU","5.91154"
"61264...ZF...","ALGERIA","1987","CPI CAPITAL CITY","INDEX NUMBER","14.294"
"61264..XZF...","ALGERIA","1987","CPI % CHANGE","PERCENT PER ANNU","7.44126"
"61264...ZF...","ALGERIA","1986","CPI CAPITAL CITY","INDEX NUMBER","13.304"
"61264..XZF...","ALGERIA","1986","CPI % CHANGE","PERCENT PER ANNU","12.3716"
"61264...ZF...","ALGERIA","1985","CPI CAPITAL CITY","INDEX NUMBER","11.8393"
"61264..XZF...","ALGERIA","1985","CPI % CHANGE","PERCENT PER ANNU","10.4823"
"61264...ZF...","ALGERIA","1984","CPI CAPITAL CITY","INDEX NUMBER","10.716"
"61264..XZF...","ALGERIA","1984","CPI % CHANGE","PERCENT PER ANNU","8.1164"
"61264...ZF...","ALGERIA","1983","CPI CAPITAL CITY","INDEX NUMBER","9.91157"
"61264..XZF...","ALGERIA","1983","CPI % CHANGE","PERCENT PER ANNU","5.96716"
"61264...ZF...","ALGERIA","1982","CPI CAPITAL CITY","INDEX NUMBER","9.35344"
"61264..XZF...","ALGERIA","1982","CPI % CHANGE","PERCENT PER ANNU","6.54251"
"61264...ZF...","ALGERIA","1981","CPI CAPITAL CITY","INDEX NUMBER","8.77907"
"61264..XZF...","ALGERIA","1981","CPI % CHANGE","PERCENT PER ANNU","14.6548"
"61264...ZF...","ALGERIA","1980","CPI CAPITAL CITY","INDEX NUMBER","7.65695"
"61264..XZF...","ALGERIA","1980","CPI % CHANGE","PERCENT PER ANNU","9.51782"
"61264...ZF...","ALGERIA","1979","CPI CAPITAL CITY","INDEX NUMBER","6.99151"
"61264..XZF...","ALGERIA","1979","CPI % CHANGE","PERCENT PER ANNU","11.3486"
"61264...ZF...","ALGERIA","1978","CPI CAPITAL CITY","INDEX NUMBER","6.27894"
"61264..XZF...","ALGERIA","1978","CPI % CHANGE","PERCENT PER ANNU","17.5239"
"61264...ZF...","ALGERIA","1977","CPI CAPITAL CITY","INDEX NUMBER","5.34269"
"61264..XZF...","ALGERIA","1977","CPI % CHANGE","PERCENT PER ANNU","11.9893"
"61264...ZF...","ALGERIA","1976","CPI CAPITAL CITY","INDEX NUMBER","4.77072"
"61264..XZF...","ALGERIA","1976","CPI % CHANGE","PERCENT PER ANNU","9.43074"
"61264...ZF...","ALGERIA","1975","CPI CAPITAL CITY","INDEX NUMBER","4.35958"
"61264..XZF...","ALGERIA","1975","CPI % CHANGE","PERCENT PER ANNU","8.23032"
"61264...ZF...","ALGERIA","1974","CPI CAPITAL CITY","INDEX NUMBER","4.02805"
"61264..XZF...","ALGERIA","1974","CPI % CHANGE","PERCENT PER ANNU","4.69961"
"61264...ZF...","ALGERIA","1973","CPI CAPITAL CITY","INDEX NUMBER","3.84725"
"61264..XZF...","ALGERIA","1973","CPI % CHANGE","PERCENT PER ANNU","6.17284"
"61264...ZF...","ALGERIA","1972","CPI CAPITAL CITY","INDEX NUMBER","3.62357"
"61264..XZF...","ALGERIA","1972","CPI % CHANGE","PERCENT PER ANNU","3.65631"
"61264...ZF...","ALGERIA","1971","CPI CAPITAL CITY","INDEX NUMBER","3.49576"
"61264..XZF...","ALGERIA","1971","CPI % CHANGE","PERCENT PER ANNU","2.62664"
"61264...ZF...","ALGERIA","1970","CPI CAPITAL CITY","INDEX NUMBER","3.40628"
"61264..XZF...","ALGERIA","1970","CPI % CHANGE","PERCENT PER ANNU","6.6"
"61264...ZF...","ALGERIA","1969","CPI CAPITAL CITY","INDEX NUMBER","3.19539"
"61464...ZF...","ANGOLA","2009","CPI, LUANDA, 2005 = 100","INDEX NUMBER","162.686"
"61464..XZF...","ANGOLA","2009","CPI % CHANGE","PERCENT PER ANNU","13.7302"
"61464...ZF...","ANGOLA","2008","CPI, LUANDA, 2005 = 100","INDEX NUMBER","143.046"
"61464..XZF...","ANGOLA","2008","CPI % CHANGE","PERCENT PER ANNU","12.4737"
"61464...ZF...","ANGOLA","2007","CPI, LUANDA, 2005 = 100","INDEX NUMBER","127.181"
"61464..XZF...","ANGOLA","2007","CPI % CHANGE","PERCENT PER ANNU","12.2487"
"61464...ZF...","ANGOLA","2006","CPI, LUANDA, 2005 = 100","INDEX NUMBER","113.303"
"61464..XZF...","ANGOLA","2006","CPI % CHANGE","PERCENT PER ANNU","13.3033"
"61464...ZF...","ANGOLA","2005","CPI, LUANDA, 2005 = 100","INDEX NUMBER","100"
"61464..XZF...","ANGOLA","2005","CPI % CHANGE","PERCENT PER ANNU","22.9637"
"61464...ZF...","ANGOLA","2004","CPI, LUANDA, 2005 = 100","INDEX NUMBER","81.3248"
"61464..XZF...","ANGOLA","2004","CPI % CHANGE","PERCENT PER ANNU","43.5419"
