country,city,reason,date
Mexico,"Monterrey, Agualeguas",State Visit.,"November 26–27, 1990"
Brazil,Brasilia,Met with President Collor de Mello and addressed a Joint Session of the Brazilian Congress.,"December 3–4, 1990"
Uruguay,Montevideo,Met with President Lacalle and addressed a Joint Session of the Uruguayan Congress.,"December 4–5, 1990"
Argentina,Buenos Aires,Met with President Menem and addressed a Joint Session of the Argentinean Congress.,"December 5–6, 1990"
Chile,Santiago,Met with President Aylwin and addressed a Joint Session of the Chilean Congress.,"December 6–7, 1990"
Venezuela,Caracas,Met with President Perez.,"December 7–8, 1990"
Canada,Ottawa,Met with Prime Minister Mulroney and signed an Air Quality Agreement.,"March 13–14, 1991"
France,"Martinique, West Indies",Discussed the Middle East peace process with President Mitterrand.,14-Mar-91
United Kingdom,Bermuda,Discussed the Middle East peace process with Prime Minister Major.,"March 14–16, 1991"
Canada,Toronto,Informal meeting with Prime Minister Mulroney.,9-Jul-91
France,Rambouillet,Discussed further sanctions against Iraq with President Mitterrand.,14-Jul-91
United Kingdom,London,"Attended Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Soviet President Gorbachev.","July 14–18, 1991"
Greece,"Athens, Souda Bay",Met with Prime Minister Mitsotakis; addressed U.S. and Greek military personnel.,"July 18–20, 1991"
Turkey,"Ankara, Istanbul",Met with President Ozal.,"July 20–22, 1991"
U.S.S.R.,"Moscow, Kiev",Attended U.S.-Soviet Summit Meeting. Signed Strategic Arms Reduction Treaty. Addressed the Ukrainian Parliament.,"July 29–August 1, 1991"
Spain,Madrid,"Met with Prime Minister Gonzalez, Soviet President Gorbachev and attended the opening session of the Middle East Peace Conference.","October 29–30, 1991"
Italy,Rome,Attended NATO Summit Meeting.,"November 6–8, 1991"
Vatican City,,Audience with Pope John Paul II.,8-Nov-91
Netherlands,The Hague,Attended European Community Summit Meeting.,"November 8–9, 1991"
Australia,"Sydney, Canberra, Melbourne",Met with Prime Minister Keating and senior Australian officials; addressed the Australian Parliament.,"December 31, 1991–January 3, 1992"
Singapore,Singapore,Met with President Wee and Prime Minister Goh; attended a meeting of the ASEAN Business Council.,"January 3–5, 1992"
"Korea, Republic of",Seoul,"Met with President Roh and senior Korean officials, signed a science and technology agreement, addressed the Korean National Assembly, and visited U.S. military personnel.","January 5–7, 1992"
Japan,"Kyoto, Kashihara, Tokyo","Met with Emperor Akihito, Prime Minister Miyazawa, and senior Japanese officials.","January 7–10, 1992"
Panama,Panama City,Met with President Endara and delivered public addresses.,11-Jun-92
Brazil,Rio de Janeiro,Attended the Earth Summit Meeting.,"June 12–13, 1992"
Poland,Warsaw,Met with President Walesa and attended a memorial service for former Prime Minister Paderewski.,5-Jul-92
Germany,Munich,"Attended an Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","July 5–8, 1992"
Finland,Helsinki,Attended a CSCE Summit Meeting.,"July 8–10, 1992"
Saudi Arabia,Riyadh,Met with King Fahd.,31-Dec-92
Somalia,"Mogadishu, Baidoa, Baledogle",Visited international relief workers and U.S. military personnel.,"December 31, 1992–January 2, 1993"
Russia,Moscow,Signed START II Treaty.,"January 2–3, 1993"
France,Paris,Discussed the Bosnian crisis with President Mitterrand.,3-Jan-93
Canada,Vancouver,Summit meeting with Russian President Yeltsin; also met with Prime Minister Mulroney.,"April 3–4, 1993"
Japan,Tokyo,"Attended Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","July 6–10, 1993"
"Korea, Republic of",Seoul,"Met with President Kim, addressed the Korean National Assembly, and visited U.S. military personnel.","July 10–11, 1993"
Belgium,Brussels,Attended NATO Summit Meeting.,"January 9–11, 1994"
Czech Republic,Prague,"Met with the Presidents and Prime Ministers of the Czech Republic, Hungary, Poland, and Slovakia.","January 11–12, 1994"
Ukraine,Kiev,Met with President Kravchuk.,12-Jan-94
Russia,Moscow,Met with President Yeltsin and senior Russian officials. Signed nuclear disarmament agreement with Ukraine.,"January 12–15, 1994"
Belarus,Minsk,Met with Chairman Shushkevich.,15-Jan-94
Switzerland,Geneva,Met with Syrian President Assad.,"January 15–16, 1994"
Italy,"Rome, Nettuno",Met with Prime Minister Berlusconi and President Scalfaro. Visited U.S. Military Cemetery.,"June 2–4, 1994"
Vatican City,,Audience with Pope John Paul II.,2-Jun-94
United Kingdom,"Cambridge, London, Portsmouth","Visited U.S. Military Cemetery. Met with Prime Minister Major. Attended state dinner with Queen Elizabeth II and heads of state and government of Canada, Poland, the Czech Republic, Slovakia, Australia, New Zealand, Norway, and Belgium. Attended D-Day commemorative ceremonies.","June 4–5, 1994"
France,"Colleville, Paris",Attended D-Day memorial ceremonies. Met with President Mitterrand and senior French officials. Addressed the French National Assembly.,"June 6–8, 1994"
United Kingdom,Oxford,Received honorary degree from Oxford University.,8-Jun-94
Latvia,Riga,Met with the Presidents of the Baltic States.,6-Jul-94
Poland,Warsaw,Addressed the Polish Parliament and attended ceremonies commemorating the Warsaw Ghetto revolt.,"July 6–7, 1994"
Italy,Naples,"Met with the Prime Ministers of Italy, Japan, and Canada. Attended G-7 Economic Summit Meeting and met with President Yeltsin.","July 7–10, 1994"
Germany,"Bonn, Oggersheim, Berlin",Met with Chancellor Kohl and German political leaders. Delivered a public address at the Brandenburg Gate and attended deactivation ceremony for the Berlin Brigade.,"July 10–12, 1994"
Egypt,Cairo,Met with President Mubarak and PLO Chairman Arafat.,"October 25–26, 1994"
Jordan,"Aqaba, Wadi Arava, Amman",Attended signing of the Israel-Jordan peace agreement and addressed the Jordanian Parliament.,"October 26–27, 1994"
Syria,Damascus,Met with President Assad.,27-Oct-94
Israel,Jerusalem,Met with senior Israeli officials and addressed the Knesset.,"October 27–28, 1994"
Kuwait,Kuwait City,Met with the Amir of Kuwait and addressed U.S. military personnel.,28-Oct-94
Saudi Arabia,King Khalid Military City,Met with King Fahd.,28-Oct-94
Philippines,"Manila, Corregidor",State Visit.,"November 12–13, 1994"
Indonesia,"Jakarta, Bogor","Attended APEC Summit Meeting, followed by State Visit.","November 13–16, 1994"
Hungary,Budapest,Attended CSCE Summit Meeting.,5-Dec-94
Canada,Ottawa,State visit.,"February 23–24, 1995"
Haiti,Port-au-Prince,Attended transition ceremony for United Nations Mission in Haiti.,31-Mar-95
Russia,Moscow,Summit meeting. Attended VE Day ceremonies.,"May 9–11, 1995"
Ukraine,Kiev,State visit.,"May 11–12, 1995"
Canada,Halifax (Nova Scotia),"Attended Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","June 15–17, 1995"
Israel,Jerusalem,Attended the funeral of Prime Minister Rabin.,"November 5–6, 1995"
United Kingdom,"London, Belfast, Londonderry","Met with Queen Elizabeth and Prime Minister Major; addressed Parliament, and delivered several public addresses in Northern Ireland.","November 28–December 1, 1995"
Ireland,Dublin,Met with President Robinson and Prime Minister Bruton.,"December 1–2, 1995"
Germany,Baumholder,Addressed U.S. military personnel and met with Chancellor Kohl.,2-Dec-95
Spain,Madrid,Attended European Union Summit Meeting.,"December 2–3, 1995"
France,Paris,Attended the signing of the Bosnian peace treaty.,14-Dec-95
Italy,Aviano,Met with U.S. military personnel.,13-Jan-96
Hungary,Taszar,Met with U.S. military personnel.,13-Jan-96
Bosnia-Herzegovina,Tuzla,Met with President Izetbegovic and addressed U.S. military personnel.,13-Jan-96
Croatia,Zagreb,Met with President Tudjman.,13-Jan-96
Egypt,Sharm el-Sheikh,Attended the Summit of the Peacemakers.,13-Mar-96
Israel,"Jerusalem, Tel Aviv",Discussed cooperation against terrorism with senior Israeli officials.,"March 13–14, 1996"
"Korea, Republic of",Cheju Island,Met with President Kim and proposed four-nation peace talks.,"April 15–16, 1996"
Japan,Tokyo,State visit. Issued joint statement on U.S.-Japanese security relations. Addressed the Diet and U.S. Navy personnel.,"April 16–18, 1996"
Russia,"St. Petersburg, Moscow",Attended G-7 summit on nuclear safety and held a summit meeting with President Yeltsin.,"April 18–21, 1996"
France,"Lyon, Perouges, Paris",Attended the G-7 Economic Summit Meeting and met with Russian Prime Minister Chernomyrdin and UN Secretary-General Boutrous-Ghali.,"June 27–29, 1996"
Australia,"Sydney, Canberra, Port Douglas",State Visit. Addressed joint meeting of Parliament and visited the Great Barrier Reef.,"November 19–23, 1996"
Philippines,"Manila, Subic Bay",Attended APEC Summit Meeting.,"November 24–25, 1996"
Thailand,Bangkok,State Visit.,"November 25–26, 1996"
Finland,Helsinki,Summit meeting with Russian President Yeltsin. Also met with President Ahtisaari.,"March 20–21, 1997"
Mexico,"Mexico, D.F., Tlaxcala",State Visit.,"May 5–7, 1997"
Costa Rica,San Jose,Attended a Summit Meeting of Presidents of the Central American Republics.,"May 7–9, 1997"
Barbados,Bridgetown,Attended a U.S.-Caribbean Community summit meeting.,"May 9–11, 1997"
France,Paris,Attended the signing of the NATO-Russia Founding Act.,"May 26–27, 1997"
Netherlands,"The Hague, Rotterdam",Attended U.S.-EU Summit Meeting and commemorated the 50th anniversary of the Marshall Plan.,"May 27–28, 1997"
United Kingdom,London,Met with Prime Minister Blair and attended a Cabinet meeting.,"May 28–29, 1997"
Spain,"Palma de Majorca, Madrid, Granada",Vacationed with King Juan Carlos I and Queen Sophia and attended a NATO Summit Meeting in Madrid.,"July 4–10, 1997"
Poland,Warsaw,Met with President Kwasniewski and former President Walesa.,"July 10–11, 1997"
Romania,Bucharest,Met with President Constantinescu and Romanian political leaders.,11-Jul-97
Denmark,Copenhagen,Met with Queen Margrethe II and Prime Minister Rasmussen.,"July 11–12, 1997"
Venezuela,Caracas,Met with President Caldera.,"October 12–13, 1997"
Brazil,"Brasilia, Sao Paulo, Rio de Janeiro",Met with President Cardosa; delivered several public addresses.,"October 13–15, 1997"
Argentina,"Buenos Aires, San Carlos de Bariloche",Met with President Menem; delivered several public addresses.,"October 15–18, 1997"
Canada,Vancouver,Attended APEC Economic Summit meeting.,"November 23–25, 1997"
Italy,Aviano,Stopped en route to and from Bosnia-Herzegovina.,22-Dec-97
Bosnia-Herzegovina,"Sarajevo, Tuzla",Met with the Bosnian Collective Presidency and with Bosnian Serb President Plavsic; visited U.S. military personnel.,22-Dec-97
Ghana,Accra,Met with President Rawlings; visited a Peace Corps project.,23-Mar-98
Uganda,"Kampala, Kisowera, Mukono, Wanyange, Entebbe","Met with President Museveni and with the Presidents of Ethiopia, Rwanda, Tanzania, Kenya, and the Congo.","March 23–25, 1998"
Rwanda,Kigali,Met with President Bizimungu; delivered a public address.,25-Mar-98
South Africa,"Cape Town, Johannesburg",Met with President Mandela; addressed joint session of Parliament.,"March 25–29, 1998"
Botswana,"Gaborone, Kasame",Met with President Masire; visited Chobe National Park.,"March 29–31, 1998"
Senegal,"Dakar, Thies, Goree Island",Met with President Diouf; visited Senegalese peacekeeping troops; delivered several public addresses.,"March 31–April 2, 1998"
Chile,Santiago,State visit; attended the Second Summit of the Americas.,"April 16–19, 1998"
Germany,"Berlin, Potsdam, Frankfurt, Eisenach",Met with Chancellor Kohl; commemorated 50th anniversary of the Berlin Airlift.,"May 12–14, 1998"
United Kingdom,"Birmingham, Weston-Under-Lizard, London",Attended G-8 Economic Summit and U.S.-EU Summit.,"May 14–18, 1998"
Switzerland,Geneva,Attended WTO meeting commemorating the 50th anniversary of GATT.,18-May-98
"China, People’s Republic of","Xian, Beijing, Shanghai, Guilin, Hong Kong",State visit.,"June 24–July 3, 1998"
Russia,Moscow,Summit meeting with President Yeltsin.,"September 1–3, 1998"
United Kingdom,"Belfast, Armagh, Omagh",Met with Prime Minister Blair and Northern Irish political leaders; addressed the Northern Ireland Assembly.,3-Sep-98
Ireland,"Dublin, Adare, Limerick, Ballybunion",Met with Prime Minister Ahern; delivered several public addresses; played golf.,"September 3–5, 1998"
Japan,Tokyo,Met with Emperor Akihito and Prime Minister Obuchi; addressed American Chamber of Commerce.,"November 19–20, 1998"
"Korea, Republic of","Seoul, Osan",Met with President Kim Dae Jung; addressed U.S. military personnel.,"November 20–22, 1998"
Israel,"Jerusalem, Masada",Met with Prime Minister Netanyahu and senior Israeli officials.,"December 12–15, 1998"
Palestinian Authority,"Gaza, Bethlehem, Erez",Addressed Palestine National Council; attended a meeting with Prime Minister Netanyahu and Chairman Arafat at Erez.,"December 14–15, 1998"
Jordan,Amman,Attended the funeral of King Hussein.,8-Feb-99
Mexico,Merida,State visit.,"February 14–15, 1999"
Nicaragua,"Managua, Posoltega, El Porvenir",Discussed reconstruction aid with President Aleman.,8-Mar-99
Honduras,"Soto Cano Air Base, Tegucigalpa",Discussed reconstruction aid with President Flores; addressed U.S. military personnel.,"March 8–9, 1999"
El Salvador,San Salvador,Addressed Legislative Assembly.,10-Mar-99
Guatemala,"Guatemala City, Antigua",Attended Central American Summit.,"March 10–11, 1999"
Belgium,Brussels,Discussed the Kosovo conflict with NATO officials.,4-May-99
Germany,"Frankfurt, Ramstein Air Force Base, Spangdahlem Air Force Base, Bonn, Ingelheim",Addressed U.S. military personnel; met with Chancellor Schroeder; met with Kosovo refugees.,"May 4–6, 1999"
Switzerland,Geneva,Addressed ILO Conference; met with President Dreifuss.,16-Jun-99
France,Paris,Discussed peacekeeping in Kosovo with President Chirac and Prime Minister Jospin.,"June 16–17, 1999"
Germany,"Cologne, Bonn",Attended G-8 Economic Summit meeting.,"June 17–21, 1999"
Slovenia,Ljubljana,"Met with President Kucan, Prime Minister Drnovsek, and President Djukanovic of Montenegro.","June 21–22, 1999"
"Macedonia, Former Yugoslav Republic of",Skopje,Met with President Gligorov; addressed Kosovar refugees and NATO military personnel.,22-Jun-99
Italy,Aviano,Addressed U.S. military personnel.,22-Jun-99
Morocco,Rabat,Attended the funeral of King Hassan II; met with Palestinian Authority President Arafat and Israeli Prime Minister Barak.,25-Jul-99
Italy,Aviano,Stopped en route to Sarajevo.,"July 29–30, 1999"
Bosnia-Herzegovina,Sarajevo,Attended Stability Pact Leaders Conference.,30-Jul-99
New Zealand,"Auckland, Queenstown, Christchurch",Attended Asia-Pacific Economic Cooperation Leaders meeting; State visit.,"September 11–15, 1999"
Canada,"Ottawa, Mont Tremblant","Working visit. Met with Prime Minister Chretien and Quebec Premier Bouchard, attended Federalism Conference at Mont Tremblant, and dedicated new Embassy building.","October 7–8, 1999"
Norway,Oslo,State visit. Attended commemorative ceremony for former Israeli Prime Minister Rabin; discussed Chechnya crisis with Russian Prime Minister Putin.,"November 1–2, 1999"
Turkey,"Ankara, Izmit, Ephesus, Istanbul",State visit and attended Organization for Security and Cooperation in Europe Summit meeting in Istanbul.,"November 15–19, 1999"
Greece,Athens,State visit. Met with Prime Minister Simitis.,"November 19–20, 1999"
Italy,Florence,Attended conference on Progressive Governance for the 21st Century.,"November 20–21, 1999"
Bulgaria,Sofia,Met with President Stoyanov and Prime Minister Kostov.,"November 21–23, 1999"
Serbia-Montenegro (Kosovo),"Pristina, Urosevac, Camp Bondsteel",Met with Kosovar Transisional Council; addressed the Albanian community and U.S. military personnel.,23-Nov-99
Switzerland,Davos,Addressed the World Economic Forum.,29-Jan-00
Italy,Aviano Air Base,Stopped en route to India.,18-Mar-00
India,"New Delhi, Agra, Jaipur, Hyderabad, Bombay",Met with President Narayanan; signed Joint Statement on Energy and the Environment; addressed the Indian Parliament.,"March 19–25, 2000"
Bangladesh,Dhaka,Met with President Ahmad and Prime Minister Hasina.,20-Mar-00
Pakistan,Islamabad,Met with President Tarar and General Musharraf; delivered radio address.,25-Mar-00
Oman,Muscat,Met with Sultan Qaboos bin Said en route from Pakistan to Switzerland.,25-Mar-00
Switzerland,Geneva,Met with President Assad of Syria.,"March 25–26, 2000"
Portugal,Lisbon,Attended U.S.-European Union Summit Meeting; met with Israeli Prime Minister Barak.,"May 30–June 1, 2000"
Germany,"Berlin, Aachen","Met with President Rau and Chancellor Schroeder; received Charlemagne Prize, and attended a Third Way Conference.","June 1–3, 2000"
Russia,Moscow,Summit meeting with President Putin; addressed the Duma.,"June 3–5, 2000"
Ukraine,Kiev,Met with President Kuchma.,5-Jun-00
Japan,Tokyo,Attended the funeral of former Prime Minister Obuchi.,8-Jun-00
Japan,Nago (Okinawa),Attended the G-8 Economic Summit.,"July 21–23, 2000"
Nigeria,"Abuja, Ushafa",Met with President Obasanjo and addressed the National Assembly.,"August 26–28, 2000"
Tanzania,Arusha,Met with former South African President Mandela to promote a peace agreement for Burundi; also met with President Mkapa.,"August 28–29, 2000"
Egypt,Cairo,Briefed President Mubarak on the Middle East Peace Process.,29-Aug-00
Colombia,Cartagena,Met with President Pastrana.,30-Aug-00
Egypt,Sharm el-Sheikh,Attended Israeli-Palestinian Summit Meeting.,"October 16–17, 2000"
Brunei Darussalam,Bandar Seri Begawan,Attended APEC Leaders' Meeting.,"November 14–16, 2000"
Vietnam,"Hanoi, Tien Chau, Ho Chi Minh City",Met with President Tran and delivered several public addresses.,"November 16–19, 2000"
Ireland,"Dublin, Dundalk",Met with Prime Minister Ahern and delivered several public addresses.,12-Dec-00
United Kingdom,"Belfast, London, Coventry","Met with Prime Minister Blair and Northern Irish political leaders in Belfast, met with Queen Elizabeth II, and made a speech at the University of Warwick.","December 12–14, 2000"
Mexico,San Cristobal,Meeting with President Fox.,16-Feb-01
Canada,Quebec,Attended the Summit of the Americas.,"April 20–22, 2001"
Spain,Madrid,Met with King Juan Carlos I and President Aznar.,"June 12–13, 2001"
Belgium,Brussels,Attended NATO Summit Meeting.,"June 13–14, 2001"
Sweden,Goteborg,Attended U.S.-European Union Summit Meeting; met with King Carl XVI Gustav.,"June 14–15, 2001"
Poland,Warsaw,State visit.,"June 15–16, 2001"
Slovenia,Kranj,Met with Prime Minister Drnovsek and Russian President Putin.,16-Jun-01
United Kingdom,"London, Chequers, Halton, Brize Norton",Met with Prime Minister Blair and Queen Elizabeth II.,"July 18–20, 2001"
Italy,"Genoa, Castel Gandolfo, Rome",Attended the G-8 Economic Summit. Met with Pope John Paul II at Castel Gandolfo and with Prime Minister Berlusconi and President Ciampi in Rome.,"July 20–24, 2001"
Yugoslavia (Kosovo),Camp Bondsteel,Addressed U.S. military personnel.,24-Jul-01
China,Shanghai,Attended the APEC Summit Meeting.,"October 18–21, 2001"
Japan,Tokyo,Met with Prime Minister Koizumi and Emperor Akihito. Addressed the Diet.,"February 17–19, 2002"
"Korea, Republic of","Seoul, Dorasan, Osan","Met with President Kin Dae-Jung, visited the Demilitarized Zone, addressed U.S. military personnel.","February 19–21, 2002"
China,Beijing,Met with President Jiang and Premier Zhu.,"February 21–22, 2002"
Mexico,Monterrey,Attended the International Conference on Financing for Development and met with President Fox.,"March 21–22, 2002"
Peru,Lima,"Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice President of Ecuador.","March 23–24, 2002"
El Salvador,San Salvador,Attended a summit meeting with Central American heads of state.,24-Mar-02
Germany,Berlin,Met with Chancellor Schroeder and addressed the Bundestag.,"May 22–23, 2002"
Russia,"Moscow, St. Petersburg",Summit meeting with President Putin. Signed strategic arms reduction treaty.,"May 23–26, 2002"
France,"Paris, St. Mere- Eglise, Colleville",Met with President Chirac and delivered a Memorial Day address in Normandy.,"May 26–27, 2002"
Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi. Attended NATO Summit Meeting and inaugurated the NATO-Russia Council.,"May 27–28, 2002"
Vatican City,,Audience with Pope John Paul II.,28-May-02
Canada,Kananaskis (Alberta),Attended the G-8 Economic Summit.,"June 25–27, 2002"
Mexico,Los Cabos,Attended APEC Summit Meeting.,"October 26–27, 2002"
Czech Republic,Prague,Attended NATO and EAPC Summit Meetings.,"November 19–22, 2002"
Russia,St. Petersburg,Met with President Putin.,22-Nov-02
Lithuania,Vilnius,Met with the Presidents of the Baltic States.,"November 22–23, 2002"
Romania,Bucharest,Met with President Iliescu.,23-Nov-02
Portugal,Terceira Island (Azores),"Discussed the Iraq crisis with British Prime Minister Blair, Spanish President Aznar, and Portuguese Prime Minister Durao.",16-Mar-03
United Kingdom,"Belfast, Hillsborough (Northern Ireland)",Met with Prime Minister Blair to discuss the reconstruction of Iraq. Also met with Irish Prime Minister Ahern and Northern Irish political leaders.,"April 7–8, 2003"
Poland,"Krakow, Auschwitz-Birkenau",Met with President Kwasniewski and Prime Minister Miller; visited former Nazi concentration camps.,"May 30–31, 2003"
Russia,St. Petersburg,Met with President Putin and attended ceremonies commemorating the city’s 300th anniversary.,"May 31–June 1, 2003"
France,Evian-les-Bains,Attended the G-8 Economic Summit and met with Chinese President Hu Jintao.,"June 1–2, 2003"
Egypt,Sharm el-Sheikh,"Attended “Red Sea Summit” with the leaders of Bahrain, Egypt, Jordan, and Saudi Arabia, and with Palestinian Prime Minister Abbas.","June 2–3, 2003"
Jordan,Aqaba,Attended meetings with Israeli Prime Minister Sharon and Palestinian Prime Minister Abbas. Met with King Abdullah II.,4-Jun-03
Qatar,Doha,"Met with Emir Hamad Thani, visited U.S. Central Command headquarters and addressed U.S. military personnel. Overflew Baghdad en route to Qatar.","June 4–5, 2003"
Senegal,"Dakar, Goree Island",Met with President Wade.,8-Jul-03
South Africa,Pretoria,Met with President Mbeki.,"July 8–10, 2003"
Botswana,Gaborone,Met with President Mogae. Toured Mokoldi Nature Reserve.,10-Jul-03
Uganda,Kampala,Met with President Museveni.,11-Jul-03
Nigeria,Abuja,Met with President Obasanjo.,"July 11–12, 2003"
Japan,Tokyo,Met with Prime Minister Koizumi.,"October 17–18, 2003"
Philippines,Manila,Addressed a joint session of the Philippine Congress and met with President Arroyo-Macapagal.,"October 18–19, 2003"
Thailand,Bangkok,Attended the APEC Summit Meeting.,"October 18–21, 2003"
Singapore,Singapore,Met with Prime Minister Goh Chok Tong.,"October 21–22, 2003"
Indonesia,Denpasar (Bali),Met with President Sukarnoputri and Muslim religious leaders.,22-Oct-03
Australia,Canberra,Met with Prime Minister Howard and addressed Parliament.,22-Oct-03
United Kingdom,"London, Sedgefield",State Visit.,"November 18–21, 2003"
Iraq,Baghdad,Met with members of the Coalition Provisional Authority and the Iraqi Governing Council and addressed U.S. military personnel.,27-Nov-03
Mexico,Monterrey,Attended the Special Summit of the Americas.,"January 12–13, 2004"
Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi.,"June 4–5, 2004"
Vatican City,,Met with Pope John Paul II.,4-Jun-04
France,"Paris, Colleville, Caen, Arromanches",Met with President Chirac and commemorated the 60th anniversary of D-Day.,"June 5–6, 2004"
Ireland,"Shannon, Dromoland Castle",Attended U.S.-EU Summit meeting and met with Prime Minister Ahern.,"June 25–26, 2004"
Turkey,"Ankara, Istanbul",Met with President Sezer and Prime Minister Erdogan and attended NATO Summit meeting in Istanbul.,"June 26–29, 2004"
Chile,Santiago,Attended APEC Summit Meeting.,"November 19–22, 2004"
Colombia,Cartagena,Met with President Uribe.,22-Nov-04
Canada,"Ottawa, Gatineau, Halifax",Met with Prime Minister Martin.,"November 30–December 1, 2004"
Belgium,Brussels,Attended NATO and EU Summit Meetings.,"February 20–23, 2005"
Germany,"Mainz, Wiesbaden",Met with Chancellor Schroeder and visited U.S. military personnel.,23-Feb-05
Slovakia,Bratislava,Met with Prime Minister Dzurinda and Russian President Putin.,"February 23–24, 2005"
Vatican City,,Attended the funeral of Pope John Paul II.,"April 6–8, 2005"
Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi.,"April 6–8, 2005"
Latvia,Riga,Met with the presidents of the Baltic States.,"May 6–7, 2005"
Netherlands,"Maastricht, Valkenburg, Margraten",Met with Prime Minister Balkenende and gave an address at a U.S. military cemetery.,"May 7–8, 2005"
Russia,Moscow,Met with President Putin and attended ceremonies commemorating VE Day.,"May 8–9, 2005"
Georgia,Tbilisi,Met with President Saakashvili.,"May 9–10, 2005"
Denmark,"Kastrup, Fredensborg, Copenhagen",Met with Queen Margrethe II and Prime Minister Rasmussen.,"July 5–6, 2005"
United Kingdom,Gleneagles (Scotland),Attended the G-8 Economic Summit.,"July 6–8, 2005"
Argentina,Mar del Plata,Attended the Summit of the Americas.,"November 3–5, 2005"
Brazil,Brasilia,Met with President Lula da Silva.,"November 5–6, 2005"
Panama,Panama City,Met with President Martin Torrijos.,"November 6–7, 2005"
Japan,Kyoto,Met with Prime Minister Koizumi.,"November 15–16, 2005"
"Korea, Republic of","Pusan, Gyeongju, Osan",Attended APEC Summit meeting and met with Russian President Putin.,"November 16–20, 2005"
China,Beijing,Met with President Hu and Prime Minister Wen.,"November 20–21, 2005"
Mongolia,Ulaanbaatar,Met with President Enkhbayar and Prime Minister Elbegdorj.,21-Nov-05
Ireland,Shannon,Met with U.S. Marines who were en route to Iraq.,28-Feb-06
Afghanistan,"Bagram, Kabul","Met with President Karzai, dedicated new U.S. Embassy, and addressed U.S. military personnel.",1-Mar-06
India,"New Delhi, Hyderabad",Met with Prime Minister Singh. Signed nuclear cooperation agreement.,"March 1–3, 2006"
Pakistan,Islamabad,Met with President Musharraf.,"March 3–4, 2006"
Mexico,"Cancun, Chichen-Itza",Met with President Fox and Canadian Prime Minister Harper.,"March 30–31, 2006"
Iraq,Baghdad,Met with Prime Minister Maliki and addressed U.S. military personnel.,13-Jun-06
Austria,Vienna,Attended the U.S.-EU Summit.,"June 20–21, 2006"
Hungary,Budapest,"Met with President Solyom, Prime Minister Gyurcsany and commemorated the 50th anniversary of the Hungarian Uprising.","June 21–22, 2006"
Germany,"Stralsund, Trinwillershagen",Met with Chancellor Merkel.,"July 12–14, 2006"
Russia,St. Petersburg,"Attended the G-8 Economic Summit. Met with President Hu of China, July 16; and President Lula of Brazil and Prime Minister Singh of India, July 17.","July 14–17, 2006"
Russia,Moscow,Met with President Putin.,15-Nov-06
Singapore,Singapore,Met with Acting President Pillay and Prime Minister Lee. Addressed National Singapore University.,"November 16–17, 2006"
Vietnam,"Hanoi, Ho Chi Minh City",Attended APEC Leaders’ Meeting.,"November 17–20, 2006"
Indonesia,"Jakarta, Bogor",Met with President Yudhoyono.,20-Nov-06
Estonia,Tallinn,Met with President Ilves.,"November 27–28, 2006"
Latvia,Riga,Attended NATO Summit Meeting.,"November 28–29, 2006"
Jordan,Amman,Met with King Abdullah II and Iraqi Prime Minister al-Maliki.,"November 29–30, 2006"
Brazil,Sao Paulo,Met with President Lula da Silva.,"March 8–9, 2007"
Uruguay,Montevideo,Met with President Tabare Vazquez.,"March 9–11, 2007"
Colombia,Bogota,Met with President Uribe.,11-Mar-07
Guatemala,"Guatemala City, Santa Cruz Balanya, Iximche",Met with President Berger.,"March 11–12, 2007"
Mexico,"Merida, Uxmal",Met with President Calderon. Visited Mayan ruins.,"March 12–14, 2007"
Czech Republic,Prague,Met with President Klaus and Prime Minister Topolanek. Addressed Conference on Democracy and Security.,"June 4–5, 2007"
Germany,Heiligen-damm,Attended the G-8 Summit Meeting. Also met with Chinese President Hu Jintao.,"June 5–8, 2007"
Poland,"Gdansk, Jurata Hel.",Met with President Kaczynski.,8-Jun-07
Italy,Rome,Met with Prime Minister Prodi and President Napolitano.,"June 8–10, 2007"
Vatican City,,Audience with Pope Benedict XVI.,9-Jun-07
Albania,Tirana,Met with President Moisu and Prime Minister Berisha.,10-Jun-07
Bulgaria,Sofia,Met with President Parvanov and Prime Minister Stanishev.,"June 10–11, 2007"
Canada,"Montebello, Quebec",Attended North American Leaders’ Summit with Mexican President Calderon and Canadian Prime Minister Harper.,"August 20–21, 2007"
Iraq,Al-Assad Air Force Base,"Met with Gen. Petraeus, Secretary of State Rice, Secretary of Defense Gates, senior U.S. officials, and Iraqi political leaders.",3-Sep-07
Australia,Sydney,Attended APEC Leaders’ Meeting.,"September 3–8, 2007"
Israel,"Tel Aviv, Jerusalem",Met with Prime Minister Olmert and President Peres. Visited Yad Vashem.,"January 9–11, 2008"
