country,city,reason,date
Germany,Bonn,Attended funeral of Chancellor Adenauer and conversed with various heads of state.,"April 23–26, 1967"
Canada,"Montreal, Ottawa",Attended Expo 67 and conferred informally with Prime Minister Pearson.,25-May-67
Mexico,Ciudad Juarez,Attended transfer of El Chamizal from the US. to Mexico and conferred with President Diaz Ordaz.,28-Oct-67
Australia,Canberra,Attended funeral of Prime Minister Holt and conferred with other attending heads of state.,"December 21–22, 1967"
Thailand,Khorat,Visited US. military personnel.,23-Dec-67
Vietnam,Cam Ranh Bay,Visited U.S. military personnel.,23-Dec-67
Pakistan,Karachi,Met with President Ayub Khan.,23-Dec-67
Italy,Rome,Met with President Saragat and Prime Minister Moro.,23-Dec-67
Vatican City,,Audience with Pope Paul VI.,23-Dec-67
El Salvador,San Salvador,Attended meeting of the Presidents of Central American Republics.,8-Jul-68
Nicaragua,Managua,Informal visit; met with President Somoza.,8-Jul-68
Costa Rica,San Jose,Informal visit; met with President Trejos.,8-Jul-68
Honduras,San Pedro Sula,Informal visit; met with President Lopez Arrelano.,8-Jul-68
Guatemala,Guatemala City,Informal visit; met with President Mendez.,8-Jul-68
Belgium,Brussels,Attended 23d meeting of North Atlantic Council; met with King Baudouin I.,"February 23–24, 1969"
United Kingdom,London,Informal visit; held conversations with Prime Minister Wilson. Received by Queen Elizabeth II.,"February 24–26, 1969"
Germany,West Berlin,Addressed the Bundestag on February 26.,"February 26–27, 1969"
Italy,Rome,"Met with President Saragat, Prime Minister Rumor, and other officials.","February 27–28, 1969"
France,Paris,Met with President De Gaulle.,"February 28–March 2, 1969"
Vatican City,,Audience with Pope Paul VI.,2-Mar-69
Philippines,Manila,State visit; met with President Marcos.,"July 26–27, 1969"
Indonesia,Jakarta,State visit; met with President Suharto.,"July 27–28, 1969"
Thailand,Bangkok,State visit; met with King Bhumibol Adulyadej.,"July 28–30, 1969"
Vietnam,"Saigon, Di An",Met with President Thieu and visited U.S. military personnel.,30-Jul-69
India,New Delhi,State visit; met with Acting President Hidayatullah.,"July 31–August 1, 1969"
Pakistan,Lahore,State visit; met with President Yahya Khan.,"August 1–2, 1969"
Romania,Bucharest,Official visit; met with President Ceausescu.,"August 2–3, 1969"
United Kingdom,Mildenhall Air Force Base,Informal meeting with Prime Minister Wilson.,3-Aug-69
Mexico,Ciudad Acuna,Dedicated Aimistad Dam.,8-Sep-69
Mexico,Puerto Vallarta,Official visit; met with President Diaz Ordaz.,"August 20–21, 1970"
Italy,"Rome, Naples",Official visit; met with President Saragat; visited NATO Southern Command.,"September 27–30, 1970"
Vatican City,,Audience with Pope Paul VI.,28-Sep-70
Yugoslavia,Belgrade,State visit; met with President Tito.,"September 30–October 2, 1970"
Spain,Madrid,State visit; met with Generalissimo Franco.,"October 2–3, 1970"
United Kingdom,Chequers,Met informally with Queen Elizabeth II and Prime Minister Heath.,3-Oct-70
Ireland,"Limerick, Timahoe, Dublin",State visit; met with Prime Minister Lynch.,"October 3–5, 1970"
France,Paris,Attended memorial services for former President De Gaulle.,12-Nov-70
