stateabb,ccode,leadid,leader,sdate,smonth,syear,emonth,eyear,birthyear,gender,militarycareer,l_month,l_year
TKM,701,A2.9-7774,Niyazov,27,10,1990,12,2006,1940,1,0,6,1992
TKM,701,A3.0-174,Berdymukhammedov,21,12,2006,3,2022,1957,1,0,2,2007
TKM,701,A4.0-175,Berdimuhamedow,19,3,2022,,,1981,1,1,3,2022
TAJ,702,A2.9-7777,Kadreddin Aslonov,31,8,1991,9,1991,1947,1,0,,
TAJ,702,A2.9-7780,Nabiyev,23,9,1991,9,1992,1930,1,0,11,1991
TAJ,702,A2.9-7783,Iskandrov,7,9,1992,11,1992,1951,1,0,,
TAJ,702,A2.9-7786,Enomali Rahmon,20,11,1992,,,1952,1,0,11,1994
KYR,703,A2.9-7789,Akayev,27,10,1990,4,2005,1944,1,0,10,1991
KYR,703,A3.0-175,Bakiyev,11,4,2005,4,2010,1949,1,0,7,2005
KYR,703,A3.0-176,Otunbayeva,7,4,2010,12,2011,1950,0,0,,
KYR,703,A3.0-177,Atambayev,1,12,2011,11,2017,1956,1,0,10,2011
KYR,703,se-703-1,Sooronbay Jeenbekov,24,11,2017,10,2020,1958,1,0,10,2017
KYR,703,ctb-703-1,Sadyr Japarov,16,10,2020,11,2020,1968,1,0,,
KYR,703,ctb-703-2,Talant Mamytov,14,11,2020,1,2021,1976,1,0,,
KYR,703,ctb-703-3,Sadyr Japarov,28,1,2021,,,1968,1,0,1,2021
UZB,704,A2.9-7792,Karimov,24,3,1990,9,2016,1938,1,0,12,1991
UZB,704,cb-704-001,Shavkat Mirziyoyev,8,9,2016,,,1957,1,0,12,2016
KZK,705,A2.9-7795,Nazarbaev,24,4,1990,3,2019,1940,1,0,12,1991
KZK,705,ctb-705-01,Kassym-Jomart Tokayev,20,3,2019,,,1953,1,0,6,2019
CHN,710,A2.9-7849,Mao Tse-Tung,1,10,1949,9,1976,1893,1,0,,
CHN,710,A2.9-7852,Hua Guofeng,7,10,1976,9,1980,1921,1,1,,
CHN,710,A2.9-7855,Deng Xiaoping,10,9,1980,2,1997,1904,1,0,,
CHN,710,A2.9-7858,Jiang Zemin,19,2,1997,3,2003,1926,1,0,,
CHN,710,A2.9-7861,Hu Jintao,15,3,2003,11,2012,1942,1,0,,
CHN,710,cb-710-1,Xi Jinping,15,11,2012,,,1953,1,0,,
MON,712,A2.9-7903,Choibalsan,22,3,1936,1,1952,1895,1,0,,
MON,712,A2.9-7906,Tsedenbal,26,1,1952,8,1984,1916,1,0,,
MON,712,A2.9-7909,Batmonkh,23,8,1984,3,1990,1926,1,0,,
MON,712,A2.9-7912,Ochirbat,12,3,1990,6,1997,1942,1,0,6,1993
MON,712,A2.9-7915,Bagabandi,20,6,1997,6,2005,1950,1,0,5,1997
MON,712,A3.0-178,Enkhbayar,24,6,2005,6,2009,1958,1,0,5,2005
MON,712,A3.0-179,Elbegdorj,18,6,2009,7,2017,1963,1,0,5,2009
MON,712,se-712-1,Khaltmaagiin Battulga,10,7,2017,6,2021,1963,1,0,7,2017
MON,712,mf-712-1,Khurelsukh,25,6,2021,,,1968,1,0,6,2021
PRK,731,A2.9-7942,Kim Il-Sung,9,9,1948,7,1994,1912,1,1,,
PRK,731,A2.9-7945,Kim Jong-Il,8,7,1994,12,2011,1942,1,0,,
PRK,731,A3.0-181,Kim Jong Un,17,12,2011,,,1983,1,0,,
ROK,732,A2.9-7948,Rhee,15,8,1948,4,1960,1875,1,0,8,1952
ROK,732,A2.9-7951,Ho Chong,27,4,1960,8,1960,1896,1,0,,
ROK,732,A2.9-7954,Myun Chang,12,8,1960,5,1961,1899,1,0,8,1960
ROK,732,A2.9-7957,Chang Do Yong,18,5,1961,7,1961,1923,1,1,,
ROK,732,A2.9-7960,Hee Park,3,7,1961,10,1979,1917,1,1,10,1963
ROK,732,A2.9-7963,Choi Kuy Hay,26,10,1979,8,1980,1919,1,0,12,1979
ROK,732,A2.9-7966,Park Choong Hoon,16,8,1980,9,1980,1919,1,1,,
ROK,732,A2.9-7969,Chun Doo Hwan,1,9,1980,2,1988,1931,1,1,8,1980
ROK,732,A2.9-7972,Roh Tae Woo,24,2,1988,2,1993,1932,1,1,12,1987
ROK,732,A2.9-7975,Kim Young Sam,25,2,1993,2,1998,1927,1,0,12,1992
ROK,732,A2.9-7978,Kim Dae Jung,25,2,1998,2,2003,1925,1,0,12,1997
ROK,732,A2.9-7981,Roh Moo Hyun,25,2,2003,2,2008,1946,1,0,12,2002
ROK,732,A3.0-182,Lee Myung Bak,25,2,2008,2,2013,1941,1,0,12,2007
ROK,732,cb-732-1,Park Geun Hye,25,2,2013,12,2016,1952,0,0,12,2012
ROK,732,se-732-2,Hwang Kyo Ahn,9,12,2016,5,2017,1957,1,0,,
ROK,732,se-732-3,Moon Jae-in,10,5,2017,5,2022,1953,1,0,5,2017
ROK,732,jp-732-4,Yoon Suk Yeol,10,5,2022,3,2025,1960,1,0,3,2022
ROK,732,,Han Duck-Soo,24,3,2025,6,2025,1949,1,0,,
ROK,732,,Lee Ju-Ho,4,6,2025,,,1963,1,0,,
JPN,740,cb-740-00001,MacArthur,2,9,1945,4,1951,1880,1,1,,
JPN,740,A2.9-8134,Matthew Bunker Ridgway,11,4,1951,4,1952,1895,1,1,,
JPN,740,A2.9-8137,"Yoshida, Shigeru",29,4,1952,12,1954,1878,1,0,,
JPN,740,A2.9-8140,Hatoyama,9,12,1954,12,1956,1883,1,0,,
JPN,740,A2.9-8143,Ishibashi,23,12,1956,2,1957,1884,1,0,,
JPN,740,A2.9-8146,Kishi,25,2,1957,7,1960,1896,1,0,,
JPN,740,A2.9-8149,Ikeda,18,7,1960,10,1964,1899,1,0,,
JPN,740,A2.9-8152,Sato,9,11,1964,7,1972,1901,1,0,,
JPN,740,A2.9-8155,Tanaka,6,7,1972,12,1974,1918,1,0,,
JPN,740,A2.9-8158,Miki,9,12,1974,12,1976,1907,1,0,,
JPN,740,A2.9-8161,Fukuda,24,12,1976,12,1978,1905,1,0,,
JPN,740,A2.9-8164,Ohira,7,12,1978,6,1980,1910,1,0,,
JPN,740,A2.9-8167,Ito,12,6,1980,7,1980,1913,1,0,,
JPN,740,A2.9-8170,Suzuki,17,7,1980,11,1982,1911,1,0,,
JPN,740,A2.9-8173,Nakasone,26,11,1982,11,1987,1918,1,0,,
JPN,740,A2.9-8176,Takeshita,6,11,1987,6,1989,1924,1,0,,
JPN,740,A2.9-8179,Uno,2,6,1989,8,1989,1922,1,0,,
JPN,740,A2.9-8182,Kaifu,9,8,1989,11,1991,1931,1,0,,
JPN,740,A2.9-8185,Miyazawa,6,11,1991,8,1993,1919,1,0,,
JPN,740,A2.9-8188,Hosokawa,9,8,1993,4,1994,1938,1,0,,
JPN,740,A2.9-8191,Hata,25,4,1994,6,1994,1935,1,0,,
JPN,740,A2.9-8194,Murayama,29,6,1994,1,1996,1924,1,0,,
JPN,740,A2.9-8197,Hashimoto,11,1,1996,7,1998,1937,1,0,,
JPN,740,A2.9-8200,Obuchi,30,7,1998,4,2000,1937,1,0,,
JPN,740,A2.9-8206,Yoshiro Mori,5,4,2000,4,2001,1937,1,0,,
JPN,740,A2.9-8209,Junichiro Koizumi,26,4,2001,9,2006,1942,1,0,,
JPN,740,A3.0-183,Shinzo Abe,26,9,2006,9,2007,1954,1,0,,
JPN,740,A3.0-184,Yasuo Fukuda,26,9,2007,9,2008,1936,1,0,,
JPN,740,A3.0-185,Taro Aso,24,9,2008,9,2009,1940,1,0,,
JPN,740,A3.0-186,Hatoyama Yukio,16,9,2009,6,2010,1947,1,0,,
JPN,740,A3.0-187,Naoto Kan,8,6,2010,9,2011,1946,1,0,,
JPN,740,A3.0-188,Yoshihiko Noda,2,9,2011,12,2012,1957,1,0,,
JPN,740,cb-740-1,Shinzo Abe,26,12,2012,9,2020,1954,1,0,,
JPN,740,ctb-740-1,Yoshihide Suga,14,9,2020,20,2021,1948,1,0,,
JPN,740,ctb-740-2,Fumio Kishida,4,10,2021,10,2024,1957,1,0,9,2021
JPN,740,,Shigeru Ishiba,1,10,2024,10,2025,1957,1,0,,
JPN,740,,Sanae Takaichi,21,10,2025,,,1961,0,0,,
IND,750,A2.9-8212,Nehru,15,8,1947,5,1964,1889,1,0,10,1951
IND,750,A2.9-8215,Nanda,27,5,1964,6,1964,1898,1,0,,
IND,750,A2.9-8218,Shastri,9,6,1964,1,1966,1904,1,0,,
IND,750,A2.9-8221,Nanda,11,1,1966,1,1966,1898,1,0,,
IND,750,A2.9-8224,"Gandhi, I.",24,1,1966,3,1977,1917,0,0,2,1967
IND,750,A2.9-8227,Desai,24,3,1977,6,1979,1896,1,0,3,1977
IND,750,A2.9-8230,Charan Singh,28,7,1979,1,1980,1902,1,0,,
IND,750,A2.9-8233,"Gandhi, I.",14,1,1980,10,1984,1917,0,0,1,1980
IND,750,A2.9-8236,"Gandhi, R.",31,10,1984,12,1989,1944,1,0,12,1984
IND,750,A2.9-8239,Pratap Singh,2,12,1989,11,1990,1931,1,0,11,1989
IND,750,A2.9-8242,Shekhar,10,11,1990,6,1991,1927,1,0,,
IND,750,A2.9-8245,Rao,21,6,1991,5,1996,1921,1,0,6,1991
IND,750,A2.9-8248,Vajpayee,16,5,1996,6,1996,1924,1,0,5,1996
IND,750,A2.9-8251,Gowda,1,6,1996,4,1997,1933,1,0,,
IND,750,A2.9-8254,Gujral,21,4,1997,3,1998,1919,1,0,,
IND,750,A2.9-8257,Vajpayee,19,3,1998,5,2004,1924,1,0,2,1998
IND,750,A2.9-8260,Manmohan Singh,22,5,2004,5,2014,1932,1,0,4,2004
IND,750,cb-750-1,Narendra Modi,26,5,2014,,,1950,1,0,5,2014
BHU,760,A2.9-8266,"Wangchuk, Jigme Dorji",24,3,1952,7,1972,1929,1,0,,
BHU,760,A2.9-8269,"Wangchuck, Jigme Singye",21,7,1972,7,1998,1955,1,0,,
BHU,760,A2.9-8272,Lyonpo Jigme Thinley,20,7,1998,7,1999,1952,1,0,,
BHU,760,A2.9-8275,Lyonpo Sangay Ngedup,9,7,1999,7,2000,1953,1,0,,
BHU,760,A2.9-8278,Lyonpo Yeshey Zimba,20,7,2000,8,2001,1952,1,0,,
BHU,760,A2.9-8281,Lyonpo Khandu Wangchuk,8,8,2001,8,2002,1950,1,0,,
BHU,760,A2.9-8284,Lyonpo Kinzang Dorji,14,8,2002,8,2003,1951,1,0,,
BHU,760,A2.9-8287,Lyonpo Jigme Thinley,30,8,2003,8,2004,1952,1,0,,
BHU,760,A2.9-8290,Lyonpo Yeshey Zimba,18,8,2004,9,2005,1952,1,0,,
BHU,760,A3.0-189,Lyonpo Sangay Ngedup,5,9,2005,9,2006,1953,1,0,,
BHU,760,A3.0-190,Lyonpo Khandu Wangchuk,7,9,2006,7,2007,1950,1,0,,
BHU,760,A3.0-191,Lyonpo Kinzang Dorji,31,7,2007,4,2008,1951,1,0,,
BHU,760,A3.0-192,Lyonpo Jigme Thinley,9,4,2008,4,2013,1952,1,0,3,2008
BHU,760,cb-760-1,Tobgye,28,4,2013,7,2013,1949,1,0,,
BHU,760,cb-760-2,Tobgay,27,7,2013,8,2018,1965,1,0,7,2013
BHU,760,cb-760-3,Tschering Wangchuk,9,8,2018,11,2018,1963,1,1,,
BHU,760,cb-760-4,Lotay Tshering,7,11,2018,11,2023,1968,1,0,10,2018
BHU,760,ctb-760-1,Chogyal Dago Rigdzin,1,11,2023,1,2024,1968,1,0,,
BHU,760,,Tshering Tobgay,28,1,2024,,,1965,1,,,
PAK,770,A2.9-8296,L. Khan,11,9,1948,10,1951,1895,1,0,,
PAK,770,A2.9-8299,Nazimuddin,17,10,1951,4,1953,1894,1,0,,
PAK,770,A2.9-8302,Mohammed Ali,17,4,1953,8,1955,1909,1,0,,
PAK,770,A2.9-8305,Chaudhri M. Ali,11,8,1955,9,1956,1905,1,0,,
PAK,770,A2.9-8308,Shahid Suhrawardy,12,9,1956,10,1957,1893,1,0,,
PAK,770,A2.9-8311,Chundrigar,17,10,1957,12,1957,1897,1,0,,
PAK,770,A2.9-8314,Khan Noon,16,12,1957,10,1958,1893,1,0,,
PAK,770,A2.9-8317,Ayub Khan,7,10,1958,3,1969,1907,1,1,,
PAK,770,A2.9-8320,Yahya Khan,31,3,1969,12,1971,1917,1,1,,
PAK,770,A2.9-8323,Bhutto,20,12,1971,7,1977,1928,1,0,12,1970
PAK,770,A2.9-8326,Zia,5,7,1977,8,1988,1924,1,1,12,1984
PAK,770,A2.9-8329,Ishaq Khan,17,8,1988,12,1988,1915,1,0,,
PAK,770,A2.9-8332,Bhutto Benazir,2,12,1988,8,1990,1953,0,0,11,1988
PAK,770,A2.9-8335,Jatoi,6,8,1990,11,1990,1931,1,0,,
PAK,770,A2.9-8338,Sharif,6,11,1990,4,1993,1949,1,0,10,1990
PAK,770,A2.9-8341,Mazari,18,4,1993,5,1993,1922,1,0,,
PAK,770,A2.9-8344,Sharif,26,5,1993,7,1993,1949,1,0,10,1990
PAK,770,A2.9-8347,Qureshi,19,7,1993,10,1993,1930,1,0,,
PAK,770,A2.9-8350,Bhutto Benazir,19,10,1993,11,1996,1953,0,0,10,1993
PAK,770,A2.9-8353,Khalid,5,11,1996,2,1997,1916,1,0,,
PAK,770,A2.9-8356,Sharif,17,2,1997,10,1999,1949,1,0,,
PAK,770,A2.9-8359,Musharraf,14,10,1999,8,2008,1943,1,1,4,2002
PAK,770,A3.0-193,Soomro,18,8,2008,9,2008,1950,1,0,,
PAK,770,A3.0-194,Zardari,9,9,2008,6,2013,1955,1,0,,
PAK,770,cb-770-1,Sharif,5,6,2013,7,2017,1949,1,0,5,2013
PAK,770,cb-770-2,Abbasi,1,8,2017,5,2018,1958,1,0,,
PAK,770,ctb-770-3,Mulk,1,6,2018,8,2018,1950,1,0,,
PAK,770,ctb-770-4,Imran Khan,18,8,2018,4,2022,1952,1,0,5,2013
PAK,770,ctb-770-5,Shehbaz Sharif,11,4,2022,8,2023,1951,1,0,,
PAK,770,ctb-770-6,Anwaar-ul-Haq Kakar,14,8,2023,3,2024,1971,1,0,,
PAK,770,,Shehbaz Sharif,4,3,2024,,,1951,1,0,,
BNG,771,A2.9-8362,Syed Nazrul Islam,11,4,1971,1,1972,1925,1,0,,
BNG,771,A2.9-8365,Sheikh Mujib Rahman,13,1,1972,8,1975,1920,1,0,12,1970
BNG,771,A2.9-8368,Moshtaque Ahmed,15,8,1975,11,1975,1918,1,0,,
BNG,771,A2.9-8371,Ziaur Rahman,6,11,1975,5,1981,1936,1,1,12,1970
BNG,771,A2.9-8374,Sattar,30,5,1981,3,1982,1906,1,0,11,1981
BNG,771,A2.9-8377,Ershad,27,3,1982,12,1990,1930,1,1,3,1985
BNG,771,A2.9-8380,Ahmed,6,12,1990,3,1991,1930,1,0,,
BNG,771,A2.9-8383,Khaleda Zia,20,3,1991,3,1996,1945,0,0,2,1991
BNG,771,A2.9-8386,Mohammad Habibur Rahman,30,3,1996,6,1996,1930,1,0,,
BNG,771,A2.9-8389,Hasina Wazed,23,6,1996,7,2001,1947,0,0,6,1996
BNG,771,A2.9-8392,Latifur Rahman,15,7,2001,10,2001,1936,1,0,,
BNG,771,A2.9-8395,Khaleda Zia,10,10,2001,10,2006,1945,0,0,10,2001
BNG,771,A3.0-195,Iajuddin,29,10,2006,1,2007,1931,1,0,,
BNG,771,A3.0-196,Fakhruddin,11,1,2007,1,2009,1940,1,0,,
BNG,771,A3.0-197,Hasina Wazed,6,1,2009,8,2024,1947,0,0,12,2008
BNG,771,,Mohammad Yunus,8,8,2024,,,1940,1,,,
MYA,775,A2.9-8407,U Nu,4,1,1948,6,1956,1907,1,0,4,1947
MYA,775,A2.9-8410,U Ba Swe,12,6,1956,2,1957,1915,1,0,,
MYA,775,A2.9-8413,U Nu,28,2,1957,10,1958,1907,1,0,,
MYA,775,A2.9-8416,Ne Win,29,10,1958,3,1960,1911,1,1,,
MYA,775,A2.9-8419,U Nu,4,4,1960,3,1962,1907,1,0,2,1960
MYA,775,A2.9-8422,Ne Win,2,3,1962,7,1988,1911,1,1,12,1973
MYA,775,A2.9-8425,Sein Lwin,25,7,1988,8,1988,1924,1,1,,
MYA,775,A2.9-8428,Maung Maung,19,8,1988,9,1988,1925,1,0,,
MYA,775,A2.9-8431,Saw Maung,18,9,1988,4,1992,1928,1,1,,
MYA,775,A2.9-8434,Than Shwe,23,4,1992,3,2011,1933,1,1,,
MYA,775,cb-775-1,Thein Sein,30,3,2011,3,2016,1945,1,1,11,2010
MYA,775,kb-775-1,Aung San Suu Kyi,30,3,2016,2,2021,1945,0,0,,
MYA,775,ctb-775-1,Min Aung Hlaing,1,2,2021,,,1956,1,1,,
SRI,780,A2.9-8437,"Senanayake, Don",4,2,1948,3,1952,1884,1,0,8,1947
SRI,780,A2.9-8440,"Senanayake, Dudley",26,3,1952,10,1953,1911,1,0,5,1952
SRI,780,A2.9-8443,Kotelawala,12,10,1953,4,1956,1897,1,0,,
SRI,780,A2.9-8446,"Bandaranaike, S.W.R.D.",12,4,1956,9,1959,1899,1,0,4,1956
SRI,780,A2.9-8449,Dahanayake,26,9,1959,3,1960,1902,1,0,,
SRI,780,A2.9-8452,"Senanayake, Dudley",21,3,1960,7,1960,1911,1,0,3,1960
SRI,780,A2.9-8455,"Bandaranaike, S",22,7,1960,3,1965,1916,0,0,7,1960
SRI,780,A2.9-8458,"Senanayake, Dudley",25,3,1965,5,1970,1911,1,0,3,1965
SRI,780,A2.9-8461,"Bandaranaike, S",31,5,1970,7,1977,1916,0,0,5,1970
SRI,780,A2.9-8464,Jayewardene,23,7,1977,1,1989,1906,1,0,7,1977
SRI,780,A2.9-8467,Premadasa,2,1,1989,5,1993,1924,1,0,12,1988
SRI,780,A2.9-8470,Wijetunge,1,5,1993,11,1994,1922,1,0,,
SRI,780,A2.9-8473,Kumaratunga,12,11,1994,11,2005,1945,0,0,11,1994
SRI,780,A3.0-198,M. Rajapakse,19,11,2005,1,2015,1945,1,0,11,2005
SRI,780,cb-780-1,Sirisena,9,1,2015,11,2019,1951,1,0,1,2015
SRI,780,ctb-780-1,G. Rajapakse,18,11,2019,7,2022,1949,1,1,11,2019
SRI,780,ctb-780-2,R. Wickremesinghe,14,7,2022,9,2024,1949,1,0,,
SRI,780,,Anura Kumara Dissanayake,23,9,2024,,,1968,1,,,
MAD,781,A2.9-8479,Nasir,26,7,1965,11,1978,1926,1,0,9,1968
MAD,781,A2.9-8482,Gayoom,11,11,1978,11,2008,1937,1,0,7,1978
MAD,781,A3.0-199,Nasheed,11,11,2008,2,2012,1967,1,0,10,2008
MAD,781,cb-781-1,Mohamed Waheed Hassan,7,2,2012,11,2013,1953,1,0,,
MAD,781,cb-781-2,Abdulla Yameen,17,11,2013,11,2018,1959,1,0,11,2013
MAD,781,cb-781-3,Ibrahim Solih,17,11,2018,11,2023,1964,1,0,9,2018
MAD,781,ctb-781-1,Mohamed Muizzu,17,11,2023,,,1978,1,0,9,2023
NEP,790,A2.9-8509,Mohan Rana,9,2,1948,2,1951,1885,1,0,,
NEP,790,A2.9-8512,Tribhuvan,18,2,1951,3,1955,1906,1,0,,
NEP,790,A2.9-8515,Mahendra,14,3,1955,1,1972,1920,1,0,,
NEP,790,A2.9-8518,Birendra,31,1,1972,11,1990,1946,1,0,,
NEP,790,A2.9-8521,Krishna Prasad Bhatterai,9,11,1990,5,1991,1924,1,0,,
NEP,790,A2.9-8524,Girija Prasad Koirala,26,5,1991,11,1994,1925,1,0,5,1991
NEP,790,A2.9-8527,Man Mohan Adhikari,30,11,1994,9,1995,1920,1,0,11,1994
NEP,790,A2.9-8530,Sher Bahadur Deuba,12,9,1995,3,1997,1946,1,0,,
NEP,790,A2.9-8533,Lokendra Bahadur Chand,12,3,1997,10,1997,1940,1,0,,
NEP,790,A2.9-8536,Surya  Bahadur Thapa,7,10,1997,4,1998,1928,1,0,,
NEP,790,A2.9-8539,Girija Prasad Koirala,15,4,1998,5,1999,1925,1,0,,
NEP,790,A2.9-8542,Krishna Prasad Bhatterai,31,5,1999,3,2000,1924,1,0,5,1999
NEP,790,A2.9-8545,Girija Prasad Koirala,22,3,2000,7,2001,1925,1,0,,
NEP,790,A2.9-8548,Sher Bahdur Deuba,26,7,2001,10,2002,1946,1,0,,
NEP,790,A2.9-8551,Lokendra Bahadur Chand,11,10,2002,6,2003,1940,1,0,,
NEP,790,A2.9-8554,Surya Bahadur Thapa,5,6,2003,6,2004,1928,1,0,,
NEP,790,A2.9-8557,Sher Bahdur Deuba,3,6,2004,2,2005,1946,1,0,,
NEP,790,A3.0-200,Gyanendra,1,2,2005,4,2006,1947,1,0,,
NEP,790,A3.0-201,Girija Prasad Koirala,30,4,2006,8,2008,1924,1,0,,
NEP,790,A3.0-202,Pushpa Kamal Dahal,18,8,2008,5,2009,1954,1,0,4,2008
NEP,790,A3.0-203,Madhav Kumar Nepal,25,5,2009,2,2011,1953,1,0,,
NEP,790,A3.0-204,Nath Khanal,6,2,2011,8,2011,1950,1,0,,
NEP,790,A3.0-205,Bhattarai,29,8,2011,3,2013,1954,1,0,,
NEP,790,cb-790-1,Regmi,14,3,2013,2,2014,1949,1,0,,
NEP,790,cb-790-2,Koirala,11,2,2014,10,2015,1939,1,0,11,2013
NEP,790,cb-790-3,Oli,12,10,2015,7,2016,1952,1,0,,
NEP,790,cb-790-4,Pushpa Kamal Dahal,24,7,2016,6,2017,1954,1,0,,
NEP,790,se-790-5,Sher Bahadur Deuba,7,6,2017,2,2018,1946,1,0,,
NEP,790,clb-790-6,Oli,15,2,2018,7,2021,1952,1,0,,
NEP,790,mf-790-1,Deuba,13,7,2021,12,2022,1946,1,0,,
NEP,790,jp-790-1,Pushpa Kamal Dahal,26,12,2022,7,2024,1954,1,0,11,2022
NEP,790,,KP Sharma Oli,15,7,2024,9,2025,1952,1,0,,
NEP,790,,Ramchandra Paudel,9,9,2025,9,2025,1944,1,0,,
NEP,790,,Sushila Karki,12,9,2025,,,1952,0,0,,
THI,800,A2.9-8581,Plaek Pibulsongkram,8,11,1947,9,1957,1897,1,1,2,1952
THI,800,A2.9-8584,Pote Sarasin,21,9,1957,12,1957,1906,1,0,,
THI,800,A2.9-8587,Thanon Kittakachorn,27,12,1957,10,1958,1911,1,1,12,1957
THI,800,A2.9-8590,Sarit,20,10,1958,12,1963,1908,1,1,,
THI,800,A2.9-8593,Thanon Kittakachorn,8,12,1963,10,1973,1911,1,1,2,1969
THI,800,A2.9-8596,Sanya,14,10,1973,2,1975,1907,1,0,,
THI,800,A2.9-8599,Seni Pramoj,21,2,1975,3,1975,1905,1,0,1,1975
THI,800,A2.9-8602,Kukrot Pramoj,17,3,1975,4,1976,1911,1,0,,
THI,800,A2.9-8605,Seni Pramoj,20,4,1976,10,1976,1905,1,0,4,1976
THI,800,A2.9-8608,Sangad,6,10,1976,10,1976,1915,1,1,,
THI,800,A2.9-8611,Thanin Kraivichien,22,10,1976,10,1977,1927,1,0,,
THI,800,A2.9-8614,Sangad,20,10,1977,11,1977,1915,1,1,,
THI,800,A2.9-8617,Kriangsak,12,11,1977,2,1980,1917,1,1,4,1979
THI,800,A2.9-8620,Prem,3,3,1980,8,1988,1920,1,1,4,1983
THI,800,A2.9-8623,Choonhavan,4,8,1988,2,1991,1922,1,1,7,1988
THI,800,A2.9-8626,Panyarachun,7,3,1991,4,1992,1932,1,0,,
THI,800,A2.9-8629,Kraprayoon,5,4,1992,5,1992,1932,1,1,3,1992
THI,800,A2.9-8632,Panyarachun,10,6,1992,9,1992,1932,1,0,,
THI,800,A2.9-8635,Leekpai,23,9,1992,7,1995,1938,1,0,9,1992
THI,800,A2.9-8638,Silpa-Archa,13,7,1995,12,1996,1932,1,0,7,1995
THI,800,A2.9-8641,Chavalit Yongchaiyudh,1,12,1996,11,1997,1932,1,1,11,1996
THI,800,A2.9-8644,Leekpai,9,11,1997,2,2001,1938,1,0,,
THI,800,A2.9-8647,Thaksin Shinawatra,10,2,2001,9,2006,1949,1,0,1,2001
THI,800,A3.0-206,Chulanont,19,9,2006,1,2008,1943,1,1,,
THI,800,A3.0-207,Sundaravej,29,1,2008,9,2008,1935,1,0,12,2007
THI,800,A3.0-208,Wongsawat,9,9,2008,12,2008,1947,1,0,,
THI,800,cb-800-0,Chanweerakul,2,12,2008,12,2008,1936,1,0,,
THI,800,A3.0-210,Vejjajiva,17,12,2008,8,2011,1964,1,0,,
THI,800,A3.0-211,Yingluck,8,8,2011,5,2014,1967,0,0,7,2011
THI,800,cb-800-1,Boonsonpaisan,7,5,2014,5,2014,1948,1,0,,
THI,800,cb-800-2,Prayuth Chan-ocha,22,5,2014,8,2023,1954,1,1,3,2019
THI,800,,Srettha Thavisin,22,8,2023,8,2024,1962,1,,,
THI,800,,Paetongtarn Shinawatra,16,8,2024,7,2025,1986,0,,,
THI,800,,Suriya Juangroongruangkit,1,7,2025,7,2025,1954,1,,,
THI,800,,Phumtham Wechayachai,3,7,2025,9,2025,1953,1,0,,
THI,800,,Anutin Charnvirakul,7,9,2025,,,1966,,,,
CAM,811,A2.9-8650,Sihanouk,9,11,1953,3,1970,1922,1,0,9,1951
CAM,811,A2.9-8653,Lon Nol,18,3,1970,4,1975,1913,1,0,4,1972
CAM,811,A2.9-8656,Pol Pot,11,4,1975,1,1979,1925,1,0,3,1976
CAM,811,A2.9-8659,Heng Samrin,7,1,1979,1,1985,1934,1,1,,
CAM,811,A2.9-8662,Hun Sen,14,1,1985,9,1993,1952,1,1,,
CAM,811,A2.9-8665,Ranariddh,21,9,1993,7,1997,1944,1,1,5,1993
CAM,811,A2.9-8668,Hun Sen,6,7,1997,8,2023,1952,1,1,7,1998
CAM,811,ctb-811-1,Hun Manet,22,8,2023,,,1977,1,1,7,2023
LAO,812,A2.9-8674,Katay Don Sasorith,24,12,1954,3,1956,1904,1,0,,
LAO,812,A2.9-8677,Souvanna Phouma,21,3,1956,7,1958,1901,1,0,12,1955
LAO,812,A2.9-8680,Sananikone,15,8,1958,12,1959,1903,1,0,8,1958
LAO,812,A2.9-8683,Nosavan,31,12,1959,1,1960,1920,1,1,,
LAO,812,A2.9-8686,Kou Abhay Og Long,7,1,1960,5,1960,1892,1,0,,
LAO,812,A2.9-8689,Somsanith,31,5,1960,8,1960,1913,1,0,4,1960
LAO,812,A2.9-8695,Souvanna Phouma,15,8,1960,12,1960,1901,1,0,,
LAO,812,A2.9-8698,Boun Oum,13,12,1960,6,1962,1912,1,0,,
LAO,812,A2.9-8701,Souvanna Phouma,24,6,1962,4,1964,1901,1,0,,
LAO,812,A2.9-8707,Souvanna Phouma,20,4,1964,12,1975,1901,1,0,7,1965
LAO,812,A2.9-8710,Phomivan,2,12,1975,11,1992,1920,1,0,3,1989
LAO,812,A2.9-8713,Phounsavanh,25,11,1992,2,1998,1914,1,0,12,1992
LAO,812,A2.9-8716,Siphandon,24,2,1998,6,2006,1924,1,1,12,1997
LAO,812,A3.0-212,Sayasone,8,6,2006,4,2016,1936,1,0,4,2006
LAO,812,jb-812-1,Vorachit,18,4,2016,1,2021,1938,1,1,4,2016
LAO,812,ctb-812-1,Thongloun Sisoulith,15,1,2021,,,1945,1,0,1,2021
DRV,816,A2.9-8737,Ho Chi Minh,2,9,1945,9,1969,1890,1,0,,
DRV,816,A2.9-8740,Le Duan,3,9,1969,7,1986,1908,1,0,,
DRV,816,A2.9-8743,Truong Chinh,10,7,1986,12,1986,1907,1,0,,
DRV,816,A2.9-8746,Nguyen Van Linh,18,12,1986,6,1991,1915,1,0,,
DRV,816,A2.9-8749,Do Muoi,27,6,1991,12,1997,1917,1,0,,
DRV,816,A2.9-8752,Phieu,29,12,1997,4,2001,1931,1,1,,
DRV,816,A2.9-8755,Nong Duc Manh,23,4,2001,1,2011,1940,1,0,,
